task,ID,Canonical_SMILES,Bond_Type,Target_Bond_Label_clean,Target_Bond_Subtype,Target_X_atom_class,appeared_in_test_n,BDE_true_mean_kJ_mol,BDE_pred_mean_kJ_mol,abs_error_mean_kJ_mol,abs_error_max_kJ_mol,abs_error_median_kJ_mol,selected_model,selected_target_mode,selected_k_best,error_rank_in_task
pc_pn,175,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCC(O)Cn2c(=O)n(CC(O)COc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)c(=O)n(CC(O)COc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)c2=O)cc1,P-C,DOPO_P-C_external,DOPO_P-C_alicyclic_sp3,alicyclic_sp3_C,5,273.6,319.2634163651982,45.663416365198216,61.6694975051808,53.540833941946175,SoftVote_local,raw,1200,11
pc_pn,166,CC(C)(c1ccc(O)c(CCCP2(=O)Oc3ccccc3-c3ccccc32)c1)c1ccc(O[Si](Oc2ccc(C(C)(C)c3ccc(O)c(CCCP4(=O)Oc5ccccc5-c5ccccc54)c3)cc2CCCP2(=O)Oc3ccccc3-c3ccccc32)(Oc2ccc(C(C)(C)c3ccc(O)c(CCCP4(=O)Oc5ccccc5-c5ccccc54)c3)cc2CCCP2(=O)Oc3ccccc3-c3ccccc32)c2ccccc2)c(CCCP2(=O)Oc3ccccc3-c3ccccc32)c1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,405.8,363.1820664683383,42.61793353166172,44.82928395312132,42.54279070254728,SoftVote_local,raw,1200,12
pc_pn,188,CC1CC2C(=O)OC(=O)C2C(P2(=O)Oc3ccccc3-c3ccccc32)C1,P-C,DOPO_P-C_external,DOPO_P-C_alicyclic_sp3,alicyclic_sp3_C,5,365.7,323.7742636175881,41.9257363824119,46.561546328237625,40.71523922091916,SoftVote_local,raw,1200,13
pc_pn,198,COc1cc(C(Nc2ccc(-c3ccc(NC(c4cc(OC)c(O)c(OC)c4)P4(=O)Oc5ccccc5-c5ccccc54)c(C)c3)cc2C)P2(=O)Oc3ccccc3-c3ccccc32)cc(OC)c1O,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,253.1,293.56981518522315,40.46981518522319,47.82425360172718,42.35462573043,SoftVote_local,raw,1200,14
pc_pn,57,COc1ccsc1C(CP1(=O)Oc2ccccc2-c2ccccc21)Nc1n[nH]c(NC(c2sccc2OC)P2(=O)Oc3ccccc3-c3ccccc32)n1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,209.3,249.3331735938453,40.03317359384526,41.40419885767466,39.74957815796742,SoftVote_local,raw,1200,15
pc_pn,158,O=P1(C(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)c2ccc(O)cc2)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,227.2,266.58402556068864,39.384025560688634,43.13600113263317,39.91987151624289,SoftVote_local,raw,1200,16
pc_pn,243,O=P1(C(NCc2ccco2)c2ccc(C(NCc3ccco3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,320.1,281.2511725560407,38.84882744395934,42.579599732256895,38.503114006289195,SoftVote_local,raw,1200,17
pc_pn,167,Nc1ccc(NC(c2ccc(C(Nc3ccc(NC(c4ccc(C=O)cc4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,313.0,276.63131138475165,36.36868861524838,48.47853712254113,32.150975168299,SoftVote_local,raw,1200,18
pc_pn,203,COc1cc(C(Nc2ccc(Cc3ccc(NC(c4cc(OC)c(O)c(OC)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc(OC)c1O,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,308.8,273.21555351910365,35.58444648089636,43.69210748482868,41.40912216236501,SoftVote_local,raw,1200,19
pc_pn,215,N#Cc1ccc(NC(CC(c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,257.7,292.55778560315366,34.85778560315367,37.63969611214287,37.01906404285029,SoftVote_local,raw,1200,20
pc_pn,150,O=c1[nH]c2ccc(NC(c3ccc(C(Nc4ccc5[nH]c(=O)[nH]c5c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2[nH]1,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,236.4,270.5170997464003,34.11709974640027,49.148671618375346,28.323468221702655,SoftVote_local,raw,1200,21
pc_pn,43,O=P1(C(Nc2nc3ccccc3s2)c2nc[nH]c2O)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,291.8,257.7081900818067,34.091809918193306,37.22751625764448,33.93604891204376,SoftVote_local,raw,1200,22
pc_pn,174,O=P1(C2c3ccccc3OCN2Cc2ccco2)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_alicyclic_sp3,alicyclic_sp3_C,5,275.7,309.56765709872786,33.867657098727875,39.22460625483393,34.020942627448505,SoftVote_local,raw,1200,23
pc_pn,172,O=P1(NCCCn2ccnc2)Oc2ccccc2-c2ccccc21,P-N,DOPO_P-N,DOPO_P-N_alkyl_amine_N,alkyl_amine_N,5,395.8,362.16242349158557,33.63757650841444,42.1071143816535,32.17980943191577,SoftVote_local,raw,1200,24
pc_pn,127,O=Cc1[nH]cnc1C(Nc1ccc(NC(c2nc[nH]c2C=O)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,217.1,250.47268869397675,33.372688693976784,37.18558570021361,33.33826514248864,SoftVote_local,raw,1200,25
pc_pn,130,O=P1(C(Nc2ccc(NC(c3nc[nH]c3O)P3(=O)Oc4ccccc4-c4ccccc43)cc2)c2nc[nH]c2O)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,282.1,250.92941915045625,31.170580849543775,37.323665416389986,30.338880783478913,SoftVote_local,raw,1200,26
pc_pn,131,O=P1(C(Nc2ccc(NC(/C(O)=C/c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)/C(O)=C/c2ccccc2)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,211.9,242.41540496425347,30.51540496425344,31.23464447879806,30.50413204449322,SoftVote_local,raw,1200,27
pc_pn,3,O=P1(C(Nc2nc[nH]n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-C,DOPO_P-C_external,DOPO_P-C_aliphatic_sp3,aliphatic_sp3_C,5,233.0,262.9459421690376,29.945942169037586,30.316668622759096,30.056323320542276,SoftVote_local,raw,1200,28
pc_pn,1,O=C1NCCCCC1NP1(=O)Oc2ccccc2-c2ccccc21,P-N,DOPO_P-N,DOPO_P-N_alkyl_amine_N,alkyl_amine_N,5,395.0,365.27606739450556,29.723932605494404,35.60893302460255,30.50026827922801,SoftVote_local,raw,1200,29
pc_pn,221,O=P1(NCCc2ccc(O)c(O)c2)Oc2ccccc2-c2ccccc21,P-N,DOPO_P-N,DOPO_P-N_alkyl_amine_N,alkyl_amine_N,5,394.6,365.80993892044097,28.790061079559052,36.77334076596168,32.31149667272348,SoftVote_local,raw,1200,30
