Bond type,Prediction rows,Unique samples,Mean observed BDE (kJ mol^-1),Mean predicted BDE (kJ mol^-1),MAE (kJ mol^-1),Median AE (kJ mol^-1),95th-percentile AE (kJ mol^-1)
P-C,1145,229,266.276,266.315,13.689,9.785,40.011
P-N,50,10,362.67,351.989,35.522,31.973,74.059
