source_file,task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,outer_R2,outer_RMSE,outer_MAE,n_test_neat,n_test_modified,outer_modified_R2,outer_modified_RMSE,outer_modified_MAE,conformal_alpha,conformal_q,conformal_n_calibration,outer_PICP,outer_MPIW,outer_modified_PICP,outer_modified_MPIW,selected_threshold,outer_Accuracy,outer_Balanced_Accuracy,outer_Macro_F1,outer_Weighted_F1,outer_Brier,outer_ECE,outer_TN,outer_FP,outer_FN,outer_TP,outer_ROC_AUC,outer_PR_AUC,outer_modified_Accuracy,outer_modified_Balanced_Accuracy,outer_modified_Macro_F1,outer_modified_Weighted_F1,outer_modified_Brier,outer_modified_ECE,outer_modified_TN,outer_modified_FP,outer_modified_FN,outer_modified_TP,outer_modified_ROC_AUC,outer_modified_PR_AUC
results\scientific_validation\FINAL_information_source_ablation_5x5\molecular_only\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv,THR,5,molecule,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,82,SVR,0.1753229928403739,-22.4804390068266,318,79,98,25,0,0.1030468037635374,26.17083833555845,20.40328709966264,22,57,-0.0228228784921713,22.18589082198889,18.10350841588576,0.05,74.5620823967987,64.0,0.9873417721518988,149.12416479359734,1.0,149.1241647935974,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\conditions_only\without_BDE\THR_outer_fold_metrics.csv,THR,5,molecule,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,107,LGBM,0.4849190521106982,-17.766447140300446,318,79,98,25,0,0.2948129815281399,23.20517768816362,15.615535949711928,22,57,0.298904285052901,18.36814550184255,11.310213838005051,0.05,55.606119502824285,64.0,0.9493670886075948,111.21223900564856,0.9649122807017544,111.21223900564858,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv,THR,5,molecule,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,82,SVR,0.1753229928403739,-22.4804390068266,318,79,98,25,0,0.1030468037635374,26.17083833555845,20.40328709966264,22,57,-0.0228228784921713,22.18589082198889,18.10350841588576,0.05,74.5620823967987,64.0,0.9873417721518988,149.12416479359734,1.0,149.1241647935974,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,5,molecule,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,188,LGBM,0.4886691536296991,-17.70165373885671,318,79,98,25,0,0.2813793348706696,23.425161555914134,15.892492523597465,22,57,0.269413408971623,18.750484889503856,11.694508955321284,0.05,54.41760370854844,64.0,0.9493670886075948,108.83520741709688,0.9649122807017544,108.83520741709688,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,1,reference,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,187,SVR,0.2965190286958461,-19.19620929891673,318,79,91,22,0,0.0066866565710627,31.38044407533347,18.359729492476312,22,57,0.0530595131257828,24.040281280271984,14.346207646688898,0.05,53.99987140440494,64.0,0.8734177215189873,107.99974280880988,0.8947368421052632,107.99974280880988,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,2,reference,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,184,GBDT,0.428482541105656,-19.463793996258676,318,79,91,22,0,0.5379050404143537,16.291239671909693,11.93871733215211,22,57,0.7217064591457417,10.039282012056557,7.4851759065038,0.05,64.51038977692299,64.0,1.0,129.02077955384598,1.0,129.02077955384598,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,3,reference,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,185,SoftVote,0.4148024244361773,-19.61525076981967,317,80,90,23,0,0.1972671802948786,21.444047131426583,13.944691064059274,22,58,-0.1221060803511482,18.39257926998088,11.43537422228048,0.05,44.90173541316881,64.0,0.925,89.80347082633762,0.9482758620689656,89.80347082633762,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,4,reference,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,187,XGB,0.4222499684693973,-19.863574804092025,317,80,90,23,0,0.4959869430436154,15.90551091718776,12.300233795166015,23,57,0.6056676482234713,11.476133846349017,9.352005117315995,0.05,57.85739746093751,64.0,1.0,115.71479492187498,1.0,115.714794921875,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,5,reference,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,179,XGB,0.3817528070523154,-20.74436635953794,318,79,90,23,0,0.5724922198333873,13.656332983401214,10.779519352007515,22,57,0.6684968421502806,10.68835118803676,8.16598628529331,0.05,69.5328338623047,64.0,1.0,139.06566772460943,1.0,139.0656677246094,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,1,scaffold,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,178,GBDT,0.4066458115845918,-20.052785758070936,317,80,85,19,0,0.1066935041424158,21.556511509726715,15.387772966777192,23,57,0.3126672958148155,15.506951261767275,10.834991863227604,0.05,53.95699269219973,64.0,0.9625,107.91398538439948,1.0,107.91398538439948,,,,,,,,,,,,,,,,,,,,,,,,,
