feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
main_morgan_r2_52,molecular_fingerprint,0.03173942397027304,0.03173942397027304,0.0038002047972400892,0.0038002047972400892,1.0,0.2,0.75,0.75,63.0,5,5
main_AromaticRings,molecular_descriptor,0.024204651482154914,0.024204651482154914,-0.0029649391502673383,-0.0029649391502673383,1.0,0.2,0.6,0.6,53.4,5,5
curing_morgan_r2_10,molecular_fingerprint,0.023259814819147503,0.023259814819147503,0.005645197101062017,0.005645197101062017,1.0,0.2,0.6666666666666666,0.6666666666666666,146.0,5,5
P_content_sqrt,elemental_composition,0.017882518412910886,0.017882518412910886,-0.006232664419595883,-0.006232664419595883,1.0,0.2,0.5,0.5,102.4,5,5
Main_FR_present,other,0.4098310400328547,0.5122888000410684,-0.04251644583024876,-0.05314555728781095,0.8,0.2,0.5,0.5,180.2,4,5
LOI_Thickness_mm,test_condition,0.0329293896577734,0.054882316096289,-0.005453624843953726,-0.009089374739922877,0.6,0.2,0.6666666666666666,0.3333333333333333,134.6,3,5
main_morgan_r2_11,molecular_fingerprint,0.04016411794116592,0.04016411794116592,0.004258505243221166,0.004258505243221166,1.0,0.0,0.6,0.6,42.0,5,5
P_x_curing_TPSA,molecular_descriptor,0.03634826513684086,0.03634826513684086,-0.010414060404569535,-0.010414060404569535,1.0,0.0,1.0,0.0,39.4,5,5
N_loading_real_sq,formulation_loading,0.03619926142964514,0.03619926142964514,0.004885583319190584,0.004885583319190584,1.0,0.0,0.5,0.5,74.8,5,5
main_HBA,other,0.03365974708473836,0.03365974708473836,0.01653881176806314,0.01653881176806314,1.0,0.0,0.8,0.8,40.4,5,5
main_morgan_r2_110,molecular_fingerprint,0.03248545890303521,0.03248545890303521,0.00463607111633327,0.00463607111633327,1.0,0.0,0.75,0.75,74.8,5,5
Preparation_Method_DOPO-based (Co-curing),molecular_descriptor,0.031141734432818934,0.031141734432818934,-0.00019587967357542185,-0.00019587967357542185,1.0,0.0,0.5,0.5,77.2,5,5
P_Si_loading_sum,formulation_loading,0.027740434127846946,0.027740434127846946,-0.0013595076388976397,-0.0013595076388976397,1.0,0.0,0.6,0.4,46.0,5,5
main_FractionCSP3,molecular_descriptor,0.024993241840266644,0.024993241840266644,0.0022820632482128123,0.0022820632482128123,1.0,0.0,0.8,0.8,51.4,5,5
main_MolWt,molecular_descriptor,0.023876517159817135,0.023876517159817135,-0.0006498531304940114,-0.0006498531304940114,1.0,0.0,0.6,0.6,56.0,5,5
P_x_curing_MolWt,molecular_descriptor,0.023868169463305937,0.023868169463305937,-0.006833803721188923,-0.006833803721188923,1.0,0.0,0.8,0.2,54.0,5,5
