feature_group,mean_abs_shap_all_folds_sum,mean_abs_shap_all_folds_mean,max_top20_frequency,mean_selected_feature_frequency,n_features
molecular_descriptor,2.2619779694623015,0.055170194377129306,1.0,0.9609756097560975,41
formulation_loading,1.1414250988939814,0.036820164480451015,0.8,0.967741935483871,31
molecular_fingerprint,0.7999666976077597,0.005333111317385065,0.6,0.8893333333333334,150
formulation_interaction,0.5830933622813476,0.19436445409378253,1.0,0.9333333333333332,3
other,0.5523338550108265,0.021243609808108712,0.2,0.7923076923076924,26
ep_baseline,0.48557135540867424,0.16185711846955808,1.0,1.0,3
elemental_composition,0.3047914869423455,0.009524733966948296,0.6,0.81875,32
curing_and_preparation,0.29709122328822835,0.07427280582205709,1.0,1.0,4
test_condition,0.0329293896577734,0.0329293896577734,0.2,0.6,1
