feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
Loading_total_FR wt%,formulation_loading,0.0038235614547092026,-0.0026825213240873487,85,3,compact,GBDT,260,260
P_x_CuringAgent_Has_S,molecular_descriptor,0.0038049578790863335,-0.0035145030791560775,86,3,compact,GBDT,260,260
main_morgan_r2_18,molecular_fingerprint,0.003756140872008272,0.0006459605321288107,87,3,compact,GBDT,260,260
Si_loading_real_sqrt,formulation_loading,0.0036056425898439363,0.0009753584706534939,88,3,compact,GBDT,260,260
curing_morgan_r2_12,molecular_fingerprint,0.00324684820137918,0.0017376098937044542,89,3,compact,GBDT,260,260
curing_morgan_r2_123,molecular_fingerprint,0.003103966930777664,0.003103966930777664,90,3,compact,GBDT,260,260
main_morgan_r2_45,molecular_fingerprint,0.0029568205277125054,-2.4640171064270697e-05,91,3,compact,GBDT,260,260
Synergy_type_P-P,other,0.0024305275744862026,0.0024305275744862026,92,3,compact,GBDT,260,260
main_morgan_r2_38,molecular_fingerprint,0.0020847991481423374,-0.0011881113424897195,93,3,compact,GBDT,260,260
curing_RotBonds,molecular_descriptor,0.0019651888310909253,0.0019651888310909253,94,3,compact,GBDT,260,260
main_MolWt,molecular_descriptor,0.0017321765650477653,-0.00040540302586224353,95,3,compact,GBDT,260,260
main_morgan_r2_27,molecular_fingerprint,0.001642839207003514,-0.001137350220233202,96,3,compact,GBDT,260,260
P_loading_real_sq,formulation_loading,0.0014964981511649152,-0.0009927264963173201,97,3,compact,GBDT,260,260
Loading_total_FR_sq,formulation_loading,0.0014329480007290866,0.0004935709780289064,98,3,compact,GBDT,260,260
main_RingCount,molecular_descriptor,0.0014069713341693082,0.0007265507709234952,99,3,compact,GBDT,260,260
Co_FR_fraction,formulation_loading,2.336400043633249e-05,2.336400043633249e-05,100,3,compact,GBDT,260,260
co_morgan_r2_123,molecular_fingerprint,0.0,0.0,101,3,compact,GBDT,260,260
S/P ratio,elemental_composition,0.0,0.0,102,3,compact,GBDT,260,260
Si/P ratio,elemental_composition,0.0,0.0,103,3,compact,GBDT,260,260
co_morgan_r2_113,molecular_fingerprint,0.0,0.0,104,3,compact,GBDT,260,260
curing_morgan_r2_86,molecular_fingerprint,0.0,0.0,105,3,compact,GBDT,260,260
curing_morgan_r2_81,molecular_fingerprint,0.0,0.0,106,3,compact,GBDT,260,260
co_morgan_r2_102,molecular_fingerprint,0.0,0.0,107,3,compact,GBDT,260,260
co_morgan_r2_100,molecular_fingerprint,0.0,0.0,108,3,compact,GBDT,260,260
curing_morgan_r2_68,molecular_fingerprint,0.0,0.0,109,3,compact,GBDT,260,260
curing_morgan_r2_66,molecular_fingerprint,0.0,0.0,110,3,compact,GBDT,260,260
curing_morgan_r2_19,molecular_fingerprint,0.0,0.0,111,3,compact,GBDT,260,260
curing_morgan_r2_18,molecular_fingerprint,0.0,0.0,112,3,compact,GBDT,260,260
main_morgan_r2_14,molecular_fingerprint,0.0,0.0,113,3,compact,GBDT,260,260
main_morgan_r2_12,molecular_fingerprint,0.0,0.0,114,3,compact,GBDT,260,260
curing_morgan_r2_78,molecular_fingerprint,0.0,0.0,115,3,compact,GBDT,260,260
curing_morgan_r2_73,molecular_fingerprint,0.0,0.0,116,3,compact,GBDT,260,260
main_morgan_r2_7,molecular_fingerprint,0.0,0.0,117,3,compact,GBDT,260,260
main_morgan_r2_9,molecular_fingerprint,0.0,0.0,118,3,compact,GBDT,260,260
main_morgan_r2_6,molecular_fingerprint,0.0,0.0,119,3,compact,GBDT,260,260
main_morgan_r2_5,molecular_fingerprint,0.0,0.0,120,3,compact,GBDT,260,260
main_morgan_r2_2,molecular_fingerprint,0.0,0.0,121,3,compact,GBDT,260,260
CuringAgent_Has_B,molecular_descriptor,0.0,0.0,122,3,compact,GBDT,260,260
curing_morgan_r2_4,molecular_fingerprint,0.0,0.0,123,3,compact,GBDT,260,260
Synergy_flag(single=0&synergy=1),other,0.0,0.0,124,3,compact,GBDT,260,260
Has_S,elemental_composition,0.0,0.0,125,3,compact,GBDT,260,260
Has_B,elemental_composition,0.0,0.0,126,3,compact,GBDT,260,260
Has_Si,elemental_composition,0.0,0.0,127,3,compact,GBDT,260,260
Has_N,elemental_composition,0.0,0.0,128,3,compact,GBDT,260,260
Has_P,elemental_composition,0.0,0.0,129,3,compact,GBDT,260,260
CuringAgent_Has_P,molecular_descriptor,0.0,0.0,130,3,compact,GBDT,260,260
CuringAgent_Has_S,molecular_descriptor,0.0,0.0,131,3,compact,GBDT,260,260
CuringAgent_Has_N,molecular_descriptor,0.0,0.0,132,3,compact,GBDT,260,260
main_morgan_r2_28,molecular_fingerprint,0.0,0.0,133,3,compact,GBDT,260,260
main_morgan_r2_32,molecular_fingerprint,0.0,0.0,134,3,compact,GBDT,260,260
main_co_similarity,other,0.0,0.0,135,3,compact,GBDT,260,260
main_co_similarity_sq,other,0.0,0.0,136,3,compact,GBDT,260,260
S_content_wt%_sqrt,elemental_composition,0.0,0.0,137,3,compact,GBDT,260,260
main_RotBonds,other,0.0,0.0,138,3,compact,GBDT,260,260
main_morgan_r2_0,molecular_fingerprint,0.0,0.0,139,3,compact,GBDT,260,260
S/P_ratio_sq,elemental_composition,0.0,0.0,140,3,compact,GBDT,260,260
main_morgan_r2_3,molecular_fingerprint,0.0,0.0,141,3,compact,GBDT,260,260
main_morgan_r2_4,molecular_fingerprint,0.0,0.0,142,3,compact,GBDT,260,260
main_morgan_r2_1,molecular_fingerprint,0.0,0.0,143,3,compact,GBDT,260,260
