task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
THR,AD_zone,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,10.08111395519617,16.49547304769074
THR,AD_zone,Caution,198,0.3965721880784573,17.559977677138708,12.594405229795356,8.961883724524668,10.977494317725188,14.491347564592399
THR,AD_zone,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,9.02103578941832,14.682696839258494
