task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
THR,AD_zone_temp,In_domain,97,0.5378115311575212,20.797284051074683,12.907391830281538,8.01625659316214,,,0.7,0.6
THR,AD_zone_temp,Caution,323,0.44792783881974574,16.67377917986895,11.811328913776626,8.455942462276568,,,0.75,0.35
THR,AD_zone_temp,Extrapolation,23,0.37612275151572594,24.43768689175502,14.58460575826824,5.90834493965216,,,0.75,0.35
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.35
THR,AD_zone_temp,Caution,294,0.45398515782323823,17.163045925240684,12.114541185136913,8.433389195294481,,,0.75,0.4
THR,AD_zone_temp,Extrapolation,52,0.3718371220583877,18.04417991516819,11.32365506076476,7.362016047398249,,,0.75,0.4
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.4
THR,AD_zone_temp,Caution,278,0.45593055624068124,17.38486862349032,12.25939686702511,8.483989710291759,,,0.75,0.45
THR,AD_zone_temp,Extrapolation,68,0.3617164478687739,16.939977252563693,10.917541802309403,6.98332467683327,,,0.75,0.45
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.45
THR,AD_zone_temp,Caution,244,0.4485773374818073,16.831871365864167,12.148002391584377,8.661630621284054,,,0.75,0.5
THR,AD_zone_temp,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,,,0.75,0.5
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.5
THR,AD_zone_temp,Caution,185,0.38967680949855354,16.78739677060146,11.918518264299438,8.1819830483863,,,0.75,0.55
THR,AD_zone_temp,Extrapolation,161,0.4773388962931434,17.867410449486677,12.084343432885861,8.455942462276568,,,0.75,0.55
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.55
THR,AD_zone_temp,Caution,142,0.4112957743354252,17.104822598253993,11.910028685523534,7.772706177869978,,,0.75,0.6
THR,AD_zone_temp,Extrapolation,204,0.45933233878655577,17.431769690463163,12.055299501204304,8.529902712619709,,,0.75,0.6
THR,AD_zone_temp,In_domain,51,0.4325228932608469,25.774617714019584,15.325424695886296,8.3990222222222,,,0.75,0.6
THR,AD_zone_temp,Caution,346,0.45759749226912494,18.293888109985758,12.362622262086017,8.483989710291759,,,0.8,0.35
THR,AD_zone_temp,Extrapolation,23,0.37612275151572594,24.43768689175502,14.58460575826824,5.90834493965216,,,0.8,0.35
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.35
THR,AD_zone_temp,Caution,317,0.46103890340693454,18.846830769786198,12.694268681268657,8.492746192885974,,,0.8,0.4
THR,AD_zone_temp,Extrapolation,52,0.3718371220583877,18.04417991516819,11.32365506076476,7.362016047398249,,,0.8,0.4
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.4
THR,AD_zone_temp,Caution,301,0.46063286682732285,19.118158076111605,12.858871736095987,8.504922899503342,,,0.8,0.45
THR,AD_zone_temp,Extrapolation,68,0.3617164478687739,16.939977252563693,10.917541802309403,6.98332467683327,,,0.8,0.45
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.45
THR,AD_zone_temp,Caution,267,0.4607946162832559,18.87509107359977,12.833410663215355,8.830054708511227,,,0.8,0.5
THR,AD_zone_temp,Extrapolation,102,0.4219319640392648,18.366189897543208,11.631299882778743,6.855837772256137,,,0.8,0.5
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.5
THR,AD_zone_temp,Caution,208,0.4314710896982329,19.381273858334186,12.823720877054363,8.400955502737666,,,0.8,0.55
THR,AD_zone_temp,Extrapolation,161,0.4773388962931434,17.867410449486677,12.084343432885861,8.455942462276568,,,0.8,0.55
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.55
THR,AD_zone_temp,Caution,165,0.4421731133626122,20.2321947973306,13.052315981068201,8.1819830483863,,,0.8,0.6
THR,AD_zone_temp,Extrapolation,204,0.45933233878655577,17.431769690463163,12.055299501204304,8.529902712619709,,,0.8,0.6
THR,AD_zone_temp,In_domain,28,0.5951280862514727,16.78130237144147,11.399592712796062,7.737364644640387,,,0.8,0.6
