Candidate_ID,Preparation_Method,condition_source,loading_source,loadings_wt_percent,cone_fluxes_kW_m2,Curing_Agent,SMILES_Curing_Agent,Cure_Temp_Max,LOI_Thickness_mm,UL94_Thickness_mm,Cone_Thickness_mm
CAND_R2_145,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_146,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_147,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_148,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_149,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_150,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_151,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_152,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_153,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_154,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_155,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_156,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_157,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_158,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_159,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_160,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_161,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_162,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_163,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_164,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_165,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_166,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_167,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_168,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_169,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_170,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_171,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_172,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_173,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_174,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_175,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_176,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_177,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_178,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_179,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_180,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_181,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_182,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_183,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_184,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_185,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_186,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_187,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_188,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
