cid,Name,Synonyms,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,MeSH_Headings,Annotation_Content,Linked_BioAssays,Data_Source,Data_Source_Category,Tagged_by_PubChem,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Linked_PubChem_Patent_Family_Count,Annotation_Type_Count,Create_Date
37314,CID 37314,,C12H9O2P,"InChI=1S/C12H9O2P/c13-15-12-8-4-2-6-10(12)9-5-1-3-7-11(9)14-15/h1-8,15H",C1=CC=C2C(=C1)C3=CC=CC=C3P(=O)O2,VBQRUYIOTHNGOP-UHFFFAOYSA-N,"benzo[c][2,1]benzoxaphosphinine 6-oxide",,Literature|Patents|Spectral Information,,Japan Chemical Substance Dictionary (Nikkaji),Governmental Organizations,,216.17,26.3,266,2.5,15,0,2,0,216.034012,216.034012,0,1,0,0,0,0,0,0,0,2,0,0,3,20050327
175970939,"6-Deuteriobenzo[c][2,1]benzoxaphosphinine 6-oxide",SCHEMBL30688245,C12H9O2P,"InChI=1S/C12H9O2P/c13-15-12-8-4-2-6-10(12)9-5-1-3-7-11(9)14-15/h1-8,15H/i15D",[2H]P1(=O)C2=CC=CC=C2C3=CC=CC=C3O1,VBQRUYIOTHNGOP-RWFJLFJASA-N,"6-deuteriobenzo[c][2,1]benzoxaphosphinine 6-oxide",,Patents,,SureChEMBL,Curation Efforts|Research and Development,,217.18,26.3,266,2.5,15,0,2,0,217.040298,217.040298,0,1,1,1,0,1,0,0,0,0,3,3,1,20250710
