Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,Candidate_rank_50,Pareto_rank_50,Final_ranking_score_50,Loading_total_FR wt%_50,LOI_pred_50,PHRR_pred_50,THR_pred_50,V0_probability_50,Tg_pred_50,TS_pred_50,max_similarity_50,Candidate_rank_35,Pareto_rank_35,Final_ranking_score_35,Loading_total_FR wt%_35,LOI_pred_35,PHRR_pred_35,THR_pred_35,V0_probability_35,Tg_pred_35,TS_pred_35,max_similarity_35,Rank_shift_35_minus_50,Abs_rank_shift,Mean_rank,Worst_rank,Pareto_both,Top20_both,Final_priority,Mean_ranking_score,Final_priority_rank
CAND_013,TDCA-DOPO-3-boronic-acid,designed,P-B,B,2,1.0,0.6747427183270285,10.0,35.37660251830155,529.1341567742487,56.36508770111311,0.6770938267851677,154.2672119140625,73.17728012580106,0.7738095238095238,1,1.0,0.6859192633058466,10.0,35.37660251830155,523.2811401617222,56.36508770111311,0.6770938267851677,154.2672119140625,73.17728012580106,0.7738095238095238,-1,1,1.5,2,True,True,True,0.6803309908164376,1
CAND_R2_050,PBD-trimethoxysilyl,designed,P-N-Si,B,1,1.0,0.6759011288345587,5.29,40.97117588372499,410.71306843213085,82.10933390799406,0.7049026427957041,189.3537139892578,58.78204632726667,0.7830188679245284,2,1.0,0.6759011288345587,5.29,40.97117588372499,436.9127645536509,82.10933390799406,0.7049026427957041,189.3537139892578,58.78204632726667,0.7830188679245284,1,1,1.5,2,True,True,True,0.6759011288345587,2
CAND_R2_239,PAD-NH-methyl,designed,P-N-S,B,3,1.0,0.667410549130833,10.0,36.46826425467697,655.5064146150808,62.83238791698062,0.6951596739362742,149.62960815429688,73.96395434983013,0.7964601769911505,3,1.0,0.6755837902150583,10.0,36.46826425467697,647.6413405446629,62.83238791698062,0.6951596739362742,149.62960815429688,73.96395434983013,0.7964601769911505,0,0,3.0,3,True,True,True,0.6714971696729457,3
CAND_R2_319,BDO-hydroxymethyl,designed,P-N-S,B,4,1.0,0.6616656641520287,10.0,36.20209726428117,704.4363270068565,62.60127152046142,0.6973270039455787,148.4613800048828,79.75068252585251,0.8269230769230769,4,1.0,0.6700760707473137,10.0,36.20209726428117,692.5571410616272,62.60127152046142,0.6973270039455787,148.4613800048828,79.75068252585251,0.8269230769230769,0,0,4.0,4,True,True,True,0.6658708674496712,4
CAND_R2_067,PBD-NH-methyl,designed,P-N,B,6,1.0,0.6538135921235779,10.0,36.470004429126845,693.1509104832903,63.667071678176974,0.7013555930981786,157.31639099121094,70.99713664198195,0.7685185185185185,5,1.0,0.6597965854765404,10.0,36.470004429126845,687.6802867931251,63.667071678176974,0.7013555930981786,157.31639099121094,70.99713664198195,0.7685185185185185,-1,1,5.5,6,True,True,True,0.6568050888000592,5
CAND_R2_180,DSD-trimethoxysilyl,designed,P-N-Si-S,B,5,1.0,0.655075681925762,10.0,42.05055917160601,346.95938273403704,75.26130141230877,0.6589707464847055,179.99021911621094,59.66455287043811,0.7692307692307693,6,1.0,0.655075681925762,10.0,42.05055917160601,369.5756173213723,75.26130141230877,0.6589707464847055,179.99021911621094,59.66455287043811,0.7692307692307693,1,1,5.5,6,True,True,True,0.655075681925762,6
CAND_R2_227,PAD-carboxamide,designed,P-N-S,B,7,1.0,0.6469223719408987,10.0,35.90150905608841,703.7197998398619,62.83238791698062,0.699289821136094,149.9962158203125,75.09621393042606,0.8181818181818182,7,1.0,0.6537661188890299,10.0,35.90150905608841,695.5115194797828,62.83238791698062,0.699289821136094,149.9962158203125,75.09621393042606,0.8181818181818182,0,0,7.0,7,True,True,True,0.6503442454149644,7
CAND_R2_181,DSD-triethoxysilyl,designed,P-N-Si-S,B,8,1.0,0.6458500525640372,10.0,42.05055917160601,367.9117228198456,76.97251016204966,0.6616573814112392,180.2188873291016,59.66455287043811,0.7368421052631579,9,1.0,0.6458500525640372,10.0,42.05055917160601,388.12657897393706,76.97251016204966,0.6616573814112392,180.2188873291016,59.66455287043811,0.7368421052631579,1,1,8.5,9,True,True,True,0.6458500525640372,8
CAND_R2_141,DIB-NH-methyl,designed,P-N,B,10,1.0,0.6364461430381317,10.0,36.411898741328926,709.8704588833475,62.60127152046142,0.6875881926453242,150.3799285888672,74.49959810243489,0.7380952380952381,8,1.0,0.6461958994264736,10.0,36.411898741328926,694.5114377553106,62.60127152046142,0.6875881926453242,150.3799285888672,74.49959810243489,0.7380952380952381,-2,2,9.0,10,True,True,True,0.6413210212323026,9
CAND_R2_226,PAD-hydroxymethyl,designed,P-N-S,B,9,1.0,0.6386246126330251,10.0,35.11197776261184,680.7501117153159,62.83238791698062,0.7027558356032815,149.63568115234375,75.09621393042606,0.8333333333333334,11,1.0,0.644518050156494,10.0,35.11197776261184,676.3648728277058,62.83238791698062,0.7027558356032815,149.63568115234375,75.09621393042606,0.8333333333333334,2,2,10.0,11,True,True,True,0.6415713313947595,10
