Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,Candidate_rank_50,Pareto_rank_50,Final_ranking_score_50,Loading_total_FR wt%_50,LOI_pred_50,PHRR_pred_50,THR_pred_50,V0_probability_50,Tg_pred_50,TS_pred_50,max_similarity_50,Candidate_rank_35,Pareto_rank_35,Final_ranking_score_35,Loading_total_FR wt%_35,LOI_pred_35,PHRR_pred_35,THR_pred_35,V0_probability_35,Tg_pred_35,TS_pred_35,max_similarity_35,Rank_shift_35_minus_50,Abs_rank_shift,Mean_rank,Worst_rank,Pareto_both,Top20_both,Final_priority
CAND_001,APN-DOPO-monoamide,designed,P-N,B,45,1.0,0.5887790706299243,10.0,34.826514944558966,817.301084090325,61.97379211304846,0.6878092448502375,159.5819854736328,74.91962521732088,0.7608695652173914,46,1.0,0.5934824285444932,10.0,34.826514944558966,805.9928548078417,61.97379211304846,0.6878092448502375,159.5819854736328,74.91962521732088,0.7608695652173914,1,1,45.5,46,True,False,False
CAND_003,PBD-monoamide,designed,P-N,B,26,1.0,0.6204595341907146,10.0,35.72034090586354,759.6852908315041,63.667071678176974,0.7018523939014962,158.71417236328125,72.12939622257788,0.8556701030927835,27,1.0,0.6250181026163986,10.0,35.72034090586354,752.7930041021139,63.667071678176974,0.7018523939014962,158.71417236328125,72.12939622257788,0.8556701030927835,1,1,26.5,27,True,False,False
CAND_004,TDCA-DOPO-2-amino,designed,P-N,B,15,1.0,0.6291667904405207,10.19,34.73383662748786,558.6532416749735,61.991162474198205,0.6925208933675264,157.46035766601562,63.55690277572464,0.7922077922077922,12,1.0,0.6423886756497101,10.19,34.73383662748786,545.9829040761099,61.991162474198205,0.6925208933675264,157.46035766601562,63.55690277572464,0.7922077922077922,-3,3,13.5,15,True,True,True
CAND_005,DOPO-HPM-hydroxy,designed,P-N,B,105,1.0,0.4038332862943294,10.19,33.108342435878285,748.4830321980108,68.32137866753287,0.6237224772592971,169.83224487304688,66.27858709786787,0.7368421052631579,103,1.0,0.4086771469043375,10.19,33.108342435878285,741.7250508522292,68.32137866753287,0.6237224772592971,169.83224487304688,66.27858709786787,0.7368421052631579,-2,2,104.0,105,True,False,False
CAND_006,DOPT-hydroxymethyl,designed,P-N-S,B,54,1.0,0.5695495052807403,10.0,34.83726902533955,654.5468681876969,65.9825461382468,0.6649859145043687,141.45034790039062,76.6991851346421,0.7164179104477612,50,1.0,0.5881327716085623,10.0,34.83726902533955,622.6948690856115,65.9825461382468,0.6649859145043687,141.45034790039062,76.6991851346421,0.7164179104477612,-4,4,52.0,54,True,False,False
CAND_007,DIB-hydroxy,designed,P-N,B,40,1.0,0.5926027934838357,10.19,36.005319796814376,691.0638882699221,65.81283819553849,0.6972587777441626,155.26248168945312,66.49665617370417,0.8076923076923077,39,1.0,0.6014231430513902,10.19,36.005319796814376,679.1847023246929,65.81283819553849,0.6972587777441626,155.26248168945312,66.49665617370417,0.8076923076923077,-1,1,39.5,40,True,False,False
CAND_013,TDCA-DOPO-3-boronic-acid,designed,P-B,B,2,1.0,0.6747427183270285,10.0,35.37660251830155,529.1341567742487,56.36508770111311,0.6770938267851677,154.2672119140625,73.17728012580106,0.7738095238095238,1,1.0,0.6859192633058466,10.0,35.37660251830155,523.2811401617222,56.36508770111311,0.6770938267851677,154.2672119140625,73.17728012580106,0.7738095238095238,-1,1,1.5,2,True,True,True
CAND_014,Ti-POSS-bisDOPO-methoxy,designed,P-N-Si,B,32,1.0,0.6068685870707875,10.0,33.59177768533997,627.067480570121,64.52661339594349,0.6930080256084368,162.95301818847656,69.29168836147603,0.851063829787234,32,1.0,0.6135060621587956,10.0,33.59177768533997,624.7657167689568,64.52661339594349,0.6930080256084368,162.95301818847656,69.29168836147603,0.851063829787234,0,0,32.0,32,True,False,False
CAND_015,DGEBDB-demethylated,designed,P-only,B,166,2.0,0.3060371292543399,10.0,31.822498635465827,646.1702417729396,73.18326161811571,0.6052764530617405,162.2533416748047,62.282846283785325,0.8705882352941177,167,2.0,0.3081560822965993,10.0,31.822498635465827,652.9564269874909,73.18326161811571,0.6052764530617405,162.2533416748047,62.282846283785325,0.8705882352941177,1,1,166.5,167,False,False,False
CAND_018,TDA-trimethoxy-silane,designed,P-N-Si,B,161,2.0,0.3389187543622312,10.0,32.29433361462495,677.5423865823919,76.17216952833397,0.6269673604681022,162.66737365722656,66.8343087807678,0.8444444444444444,161,2.0,0.3420340637404134,10.0,32.29433361462495,679.8039168882775,76.17216952833397,0.6269673604681022,162.66737365722656,66.8343087807678,0.8444444444444444,0,0,161.0,161,False,False,False
