task,model,target_mode,model_variant,k_best,test_R2_mean,test_R2_std,test_R2_max,test_R2_min,test_RMSE_mean,test_MAE_mean,n_runs,n_samples,selected_features
pc_pn,SoftVote_local,raw,SoftVote_local__raw,1200,0.772258924693397,0.05660630259514925,0.8749875573361058,0.605325679250325,20.359667453208804,14.597330789775308,25,239,1200
pc_pn,SoftVote_local,raw,SoftVote_local__raw,1100,0.7711728594811437,0.05751110548029025,0.8727572962216172,0.5992095368404837,20.39849122661172,14.598068090914532,25,239,1100
pc_pn,SoftVote_local,raw,SoftVote_local__raw,1300,0.7695765550393306,0.056552580586728664,0.8702545002983539,0.6049729214908603,20.478164603466386,14.627969688078482,25,239,1300
pc_pn,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,1200,0.7642943870166812,0.0691980802280288,0.8782448161898173,0.6042045379404964,20.593220268445023,14.691195065011776,25,239,1200
pc_pn,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,1100,0.7640092402607769,0.06737746784345737,0.8740481674666294,0.600741692583019,20.621823487738766,14.731193427213993,25,239,1100
pc_pn,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,1300,0.7625622134963984,0.06581560762675402,0.8691343655582577,0.6123427142935529,20.695363007693786,14.667198351973044,25,239,1300
pc_pn,RF_sqrt_local,raw,RF_sqrt_local__raw,1200,0.758773081040134,0.05571241902000377,0.8514475404702264,0.6292956954814881,20.930120708689,15.01579126432075,25,239,1200
pc_pn,RF_sqrt_local,raw,RF_sqrt_local__raw,1100,0.7576599985924317,0.061375765506867914,0.8530482503050155,0.5996806751516464,20.951298490540477,15.059033404937225,25,239,1100
pc_pn,RF_sqrt_local,raw,RF_sqrt_local__raw,1300,0.7536482090114031,0.05911502943782761,0.8550898090217126,0.5962021521161678,21.151171683932848,15.189049624931785,25,239,1300
