task,seed,split_id,repeat,fold,k_best,model,target_mode,model_variant,test_R2,test_RMSE,test_MAE,n_samples,test_size,selected_features,split
pc_pn,5,5,1,5,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7567586864229643,20.55066368059864,14.765818330605436,239,,1100,repeated_kfold
pc_pn,5,5,1,5,1100,SoftVote_local,raw,SoftVote_local__raw,0.7579505109869201,20.500255176070894,13.954273114507233,239,,1100,repeated_kfold
pc_pn,5,5,1,5,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7692796340391885,20.014748987770552,14.385691489361616,239,,1200,repeated_kfold
pc_pn,5,5,1,5,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7666751175289517,20.127401490328026,14.383895253682345,239,,1200,repeated_kfold
pc_pn,5,5,1,5,1200,SoftVote_local,raw,SoftVote_local__raw,0.7681373998637518,20.0642316260334,13.593799897870799,239,,1200,repeated_kfold
pc_pn,5,5,1,5,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7668342963747498,20.12053466342932,14.736718494271654,239,,1300,repeated_kfold
pc_pn,5,5,1,5,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7623711346965751,20.312191343280837,14.843436988543244,239,,1300,repeated_kfold
pc_pn,5,5,1,5,1300,SoftVote_local,raw,SoftVote_local__raw,0.760600743882477,20.387716231002514,14.024405992190204,239,,1300,repeated_kfold
pc_pn,6,6,2,1,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7180174780525062,21.594194306121288,15.426105769230674,239,,1100,repeated_kfold
pc_pn,6,6,2,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.734321481489063,20.96062026482263,15.47168269230753,239,,1100,repeated_kfold
pc_pn,6,6,2,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.7471322762617765,20.4490251586432,14.538395259443831,239,,1100,repeated_kfold
pc_pn,6,6,2,1,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.714515272050243,21.72787979435889,15.772427884615302,239,,1200,repeated_kfold
pc_pn,6,6,2,1,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7283914811756589,21.193252053494085,15.73617788461524,239,,1200,repeated_kfold
pc_pn,6,6,2,1,1200,SoftVote_local,raw,SoftVote_local__raw,0.7358312620262419,20.90097859005296,14.950166264881693,239,,1200,repeated_kfold
pc_pn,6,6,2,1,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7113748414900589,21.847060024105485,15.75471955128202,239,,1300,repeated_kfold
pc_pn,6,6,2,1,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7381595007769619,20.808669854238286,15.478741987179353,239,,1300,repeated_kfold
pc_pn,6,6,2,1,1300,SoftVote_local,raw,SoftVote_local__raw,0.7431239299092416,20.61046232879009,14.801164247001353,239,,1300,repeated_kfold
pc_pn,7,7,2,2,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7736311336176273,21.002232880096965,15.255104166666603,239,,1100,repeated_kfold
pc_pn,7,7,2,2,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7820610928777547,20.607461928094164,14.796378205128192,239,,1100,repeated_kfold
pc_pn,7,7,2,2,1100,SoftVote_local,raw,SoftVote_local__raw,0.7733804292846905,21.0138596859968,15.087140324316138,239,,1100,repeated_kfold
pc_pn,7,7,2,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7748742332286062,20.944486845078057,15.03719551282048,239,,1200,repeated_kfold
pc_pn,7,7,2,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7881844122660351,20.3159006504761,14.385216346153825,239,,1200,repeated_kfold
pc_pn,7,7,2,2,1200,SoftVote_local,raw,SoftVote_local__raw,0.7739135393682688,20.98912815761802,14.915193272265542,239,,1200,repeated_kfold
pc_pn,7,7,2,2,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7703947652373621,21.151833268232867,15.178437499999932,239,,1300,repeated_kfold
pc_pn,7,7,2,2,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7808757755548985,20.663425453910293,14.252023237179499,239,,1300,repeated_kfold
pc_pn,7,7,2,2,1300,SoftVote_local,raw,SoftVote_local__raw,0.7654392484272521,21.378872343521554,15.194432840250935,239,,1300,repeated_kfold
pc_pn,8,8,2,3,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.6807076709612797,21.22793434112574,15.180536858974278,239,,1100,repeated_kfold
pc_pn,8,8,2,3,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6488292132376803,22.262435979849453,15.24003205128198,239,,1100,repeated_kfold
pc_pn,8,8,2,3,1100,SoftVote_local,raw,SoftVote_local__raw,0.7563380253268129,18.54416884989597,13.525398124724427,239,,1100,repeated_kfold
pc_pn,8,8,2,3,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.6791747464145296,21.278831050778333,15.166682692307576,239,,1200,repeated_kfold
pc_pn,8,8,2,3,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6440614798746366,22.413051472312617,15.372804487179422,239,,1200,repeated_kfold
pc_pn,8,8,2,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.7673527578463852,18.120177501374503,13.326594945837527,239,,1200,repeated_kfold
pc_pn,8,8,2,3,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.6957071407543638,20.72332193517941,14.948782051281981,239,,1300,repeated_kfold
