task,outer_fold,score,source
UL94_V0,1,0.8156618156618156,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project_V5\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,2,0.7367521367521368,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project_V5\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,3,0.796875,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project_V5\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,4,0.7579731743666169,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project_V5\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,5,0.7856474988312295,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project_V5\results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
