task,n,median,min,max
LOI,599,31.0,18.1,49.5
PHRR,406,869.1,215.87,2491.0
THR,397,76.5,34.8,227.4
Tg,357,160.0,55.9,255.3
TS_MPa,256,67.265,16.3,108.0
