task,split,outer_fold,score,source
PHRR,scaffold,2,0.4950193567099078,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\scaffold\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,scaffold,3,0.6577424171921559,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\scaffold\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,scaffold,4,0.7917676255739583,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\scaffold\formulation\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,scaffold,5,0.6049156982302504,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\scaffold\formulation\without_BDE\PHRR_outer_fold_metrics.csv
THR,molecule,1,0.5823455926661751,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,molecule,2,0.5263592453596957,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,molecule,3,0.4226313786943589,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,molecule,4,0.6036418168502191,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,molecule,5,0.2813793348706696,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\molecule\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,reference,1,0.0066866565710627,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,reference,2,0.5379050404143537,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,reference,3,0.1972671802948786,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,reference,4,0.4959869430436154,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,reference,5,0.5724922198333873,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\reference\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,scaffold,1,0.1066935041424158,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,scaffold,2,0.5383540910452397,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv
