task,feature_group,mean_abs_shap_sum,aggregated_mean_abs_shap_share_percent,contribution_percent_within_task
LOI,molecular_descriptor,2.261977969462301,35.19902898675406,35.19902898675406
LOI,formulation_loading,1.1414250988939814,17.76191266430788,17.76191266430788
LOI,molecular_fingerprint,0.7999666976077597,12.448419638776127,12.448419638776127
LOI,formulation_interaction,0.5830933622813476,9.073616294239997,9.073616294239997
LOI,other,0.5523338550108265,8.594962300854414,8.594962300854414
LOI,ep_baseline,0.4855713554086742,7.556059539443819,7.556059539443819
LOI,elemental_composition,0.3047914869423455,4.7429128526613145,4.7429128526613145
LOI,curing_and_preparation,0.2970912232882283,4.623087722962394,4.623087722962394
PHRR,molecular_descriptor,139.84103147988444,31.852942951804824,31.852942951804824
PHRR,ep_baseline,98.19181939885974,22.36609948129357,22.36609948129357
PHRR,molecular_fingerprint,84.6662195369702,19.285242909868185,19.285242909868185
PHRR,formulation_loading,50.939809366057936,11.6030525843644,11.6030525843644
PHRR,test_condition,24.592219793409093,5.601607524257891,5.601607524257891
PHRR,other,15.50387988618741,3.531468527657416,3.531468527657416
PHRR,curing_and_preparation,12.783612943371493,2.9118470415583237,2.9118470415583237
PHRR,formulation_interaction,12.502165242272945,2.847738979195395,2.847738979195395
THR,ep_baseline,7.65530862277199,31.562873815504478,31.562873815504478
THR,molecular_descriptor,6.597364446118974,27.200964949777294,27.200964949777294
THR,formulation_loading,4.439162849700448,18.302689515976123,18.302689515976123
THR,formulation_interaction,2.43863343568283,10.054497239179412,10.054497239179412
THR,elemental_composition,2.1806179409477315,8.99069812877594,8.99069812877594
THR,other,0.94306860807068,3.888276350786764,3.888276350786764
UL94_V0,molecular_fingerprint,0.1806314805319871,33.75171433116858,33.75171433116858
UL94_V0,molecular_descriptor,0.1347725456946633,25.182789005403265,25.182789005403265
UL94_V0,formulation_loading,0.122379974776108,22.867187581775696,22.867187581775696
UL94_V0,elemental_composition,0.0505536362140312,9.446149048175712,9.446149048175712
UL94_V0,other,0.0418897375679288,7.827264946488559,7.827264946488559
UL94_V0,curing_and_preparation,0.003998068738318,0.7470551286777977,0.7470551286777977
UL94_V0,test_condition,0.0009517589137002,0.17783995831038926,0.17783995831038926
