task,scenario,scenario_label,outer_fold,metric,source
THR,conditions_only,Conditions only,2,0.5269759008638774,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\conditions_only\without_BDE\THR_outer_fold_metrics.csv
THR,conditions_only,Conditions only,3,0.4210048132801278,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\conditions_only\without_BDE\THR_outer_fold_metrics.csv
THR,conditions_only,Conditions only,4,0.606768887518238,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\conditions_only\without_BDE\THR_outer_fold_metrics.csv
THR,conditions_only,Conditions only,5,0.2948129815281399,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\conditions_only\without_BDE\THR_outer_fold_metrics.csv
UL94_V0,conditions_only,Conditions only,1,0.7367610837438423,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\conditions_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,conditions_only,Conditions only,2,0.8054736842105263,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\conditions_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,conditions_only,Conditions only,3,0.7807682896990458,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\conditions_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,conditions_only,Conditions only,4,0.7413024085637823,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\conditions_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,conditions_only,Conditions only,5,0.7962918660287082,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\conditions_only\without_BDE\UL94_V0_outer_fold_metrics.csv
LOI,molecular_only,Molecular only,1,0.3654401763327178,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecular_only,Molecular only,2,0.5121472617003797,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecular_only,Molecular only,3,0.3967414664919685,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecular_only,Molecular only,4,0.4697168398832039,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_outer_fold_metrics.csv
LOI,molecular_only,Molecular only,5,0.588133814929627,results\scientific_validation\FINAL_information_source_ablation_5x5\LOI\molecule\formulation\molecular_only\without_BDE\LOI_outer_fold_metrics.csv
PHRR,molecular_only,Molecular only,1,0.0552314753096683,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,molecular_only,Molecular only,2,0.239695436798817,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,molecular_only,Molecular only,3,0.2793616611410598,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,molecular_only,Molecular only,4,0.3942100945677278,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_outer_fold_metrics.csv
PHRR,molecular_only,Molecular only,5,0.2775161086004362,results\scientific_validation\FINAL_information_source_ablation_5x5\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_outer_fold_metrics.csv
THR,molecular_only,Molecular only,1,0.1369201075626347,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv
THR,molecular_only,Molecular only,2,0.0567921278133911,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv
THR,molecular_only,Molecular only,3,0.2543141057737393,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv
THR,molecular_only,Molecular only,4,0.2976536609309006,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv
THR,molecular_only,Molecular only,5,0.1030468037635374,results\scientific_validation\FINAL_information_source_ablation_5x5\THR\molecule\formulation\molecular_only\without_BDE\THR_outer_fold_metrics.csv
UL94_V0,molecular_only,Molecular only,1,0.700925925925926,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\molecular_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecular_only,Molecular only,2,0.6488575268817205,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\molecular_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecular_only,Molecular only,3,0.703052503052503,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\molecular_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecular_only,Molecular only,4,0.6458938277120095,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\molecular_only\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecular_only,Molecular only,5,0.6471896955503513,results\scientific_validation\FINAL_information_source_ablation_5x5\UL94_V0\molecule\formulation\molecular_only\without_BDE\UL94_V0_outer_fold_metrics.csv
