task,R2,RMSE,MAE,n
LOI,0.7180741189141153,2.6272192766170543,1.9908378578351666,599
PHRR,0.6137542921180863,219.68157368835017,161.548181819867,406
THR,0.46465556479572423,18.604684134911466,12.423430304987962,397
Tg,0.5424622246594544,16.344040972710896,10.871140295608821,357
TS_MPa,0.47407312283275194,11.683737790074554,9.369477506560159,256
