task,R2,RMSE,MAE,n,model_configuration
LOI,0.720684645775598,2.6150274604421604,1.9658693587825136,599,Models varied across outer folds
PHRR,0.6139204512932668,219.6343161591404,161.22670448733845,406,Models varied across outer folds
THR,0.46465556479572423,18.604684134911466,12.423430304987962,397,Models varied across outer folds
Tg,0.5363294853662438,16.453212392042925,10.793045372498584,357,Models varied across outer folds
TS_MPa,0.48062791120872184,11.61070049675848,9.171429723339797,256,Models varied across outer folds
