task,mean_delta,std_delta,n
LOI,-0.002957940281838378,0.012941615097872193,5
PHRR,0.0039419033975810255,0.02103660843286123,5
THR,0.00021445171886017578,0.014892855448125271,5
TS_MPa,0.02920689697503296,0.037770781135830184,5
Tg,0.008287520431401518,0.015005618112491511,5
UL94_V0,0.007470523370002069,0.009402637211640752,5
