task,grouping,group,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high
UL94_V0,scaffold_status,New_scaffold,465,0.7913978494623656,0.7938375350140057,0.7908406716469819,0.856078431372549,0.765218048478505,0.15058928157028284,0.06109310308945169,0.7526881720430108,0.8279569892473119
UL94_V0,scaffold_status,Seen_scaffold,134,0.746268656716418,0.7687219466099693,0.7442173815405344,0.863690054334987,0.720290273897566,0.152527923574872,0.09543499755552858,0.6716417910447762,0.8208955223880597
