task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,selected_threshold,outer_Accuracy,outer_Balanced_Accuracy,outer_Macro_F1,outer_Weighted_F1,outer_Brier,outer_ECE,outer_TN,outer_FP,outer_FN,outer_TP,outer_ROC_AUC,outer_PR_AUC,n_test_neat,n_test_modified,outer_modified_Accuracy,outer_modified_Balanced_Accuracy,outer_modified_Macro_F1,outer_modified_Weighted_F1,outer_modified_Brier,outer_modified_ECE,outer_modified_TN,outer_modified_FP,outer_modified_FN,outer_modified_TP,outer_modified_ROC_AUC,outer_modified_PR_AUC
UL94_V0,1,molecule,formulation,baseline_inclusive,0,advanced,1,morgan_r3,,676,676,ExtraTrees,0.7990122570694966,0.805064935064935,485,114,117,26,0,0.49000000000000027,0.8157894736842105,0.8221288515406162,0.8156618156618156,0.8161724477513952,0.12584103208554182,0.12323092558641036,48,15,6,45,0.9215686274509803,0.9096489380933518,23,91,0.7692307692307693,0.7536764705882353,0.7575180814617435,0.7639600597347076,0.15764697028561103,0.15428197995468898,25,15,6,45,0.8764705882352941,0.9096489380933518
UL94_V0,2,molecule,formulation,baseline_inclusive,0,advanced,1,morgan_r3,,678,678,GBDT,0.8168040324228595,0.8158801561704294,489,110,114,29,0,0.5700000000000003,0.7454545454545455,0.7353940217391304,0.7367521367521368,0.7445843045843046,0.17921122238379325,0.14715068002529877,51,13,15,31,0.8199728260869565,0.6964269511866343,26,84,0.6666666666666666,0.665903890160183,0.664957264957265,0.6672364672364672,0.23443612259236396,0.1839850553657035,25,13,15,31,0.6967963386727689,0.6964269511866346
UL94_V0,3,molecule,formulation,baseline_inclusive,0,advanced,1,morgan_r3,,683,683,ExtraTrees,0.8004237288135594,0.8156661274906256,471,128,114,29,0,0.4000000000000002,0.796875,0.8039408866995074,0.796875,0.796875,0.15604369767517534,0.12018934295264797,51,19,7,51,0.8571428571428572,0.8103895075698417,28,100,0.74,0.7134646962233169,0.7178819444444444,0.7305208333333333,0.19973549677212488,0.1541691402013243,23,19,7,51,0.7619047619047619,0.810389507569842
UL94_V0,4,molecule,formulation,baseline_inclusive,0,advanced,1,morgan_r3,,672,672,ExtraTrees,0.8159107446034441,0.8212317950517635,483,116,115,28,0,0.49000000000000027,0.7586206896551724,0.7577380952380952,0.7579731743666169,0.7584048512256539,0.15384073656658695,0.07014005722767128,47,13,15,41,0.8654761904761905,0.8201616444450137,24,92,0.6956521739130435,0.685515873015873,0.6835380835380835,0.6969981839547058,0.19397309175502098,0.08838721107564042,23,13,15,41,0.7757936507936508,0.8201616444450138
UL94_V0,5,molecule,formulation,baseline_inclusive,0,advanced,1,morgan_r3,,688,688,ExtraTrees,0.7947780965083773,0.8005052833459347,468,131,112,31,0,0.45000000000000023,0.7862595419847328,0.8195061728395061,0.7856474988312295,0.788357975653887,0.14186661698548703,0.10265436333802709,55,26,2,48,0.8802469135802469,0.7368538384593869,30,101,0.7227722772277227,0.7250980392156863,0.707609594706369,0.706950347640223,0.18400517421973003,0.13308720507374447,25,26,2,48,0.8098039215686275,0.736853838459387
