feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
main_morgan_r3_100,molecular_fingerprint,2.5796339966392326e-05,2.5796339966392326e-05,8.534510254321504e-06,8.534510254321504e-06,1.0,0.0,1.0,1.0,517.0,5,5
main_morgan_r3_409,molecular_fingerprint,2.5763501511710904e-05,2.5763501511710904e-05,3.0639049207397626e-06,3.0639049207397626e-06,1.0,0.0,0.5,0.5,554.0,5,5
B_loading_real_sq,formulation_loading,2.459257800390131e-05,2.459257800390131e-05,-1.9586889732383704e-05,-1.9586889732383704e-05,1.0,0.0,0.6666666666666666,0.3333333333333333,490.8,5,5
Synergy_type_P-Si,other,2.2981279547309437e-05,2.2981279547309437e-05,-7.696049795899604e-06,-7.696049795899604e-06,1.0,0.0,0.75,0.25,555.8,5,5
main_morgan_r3_384,molecular_fingerprint,2.2391149793684743e-05,2.2391149793684743e-05,1.5852467965171655e-05,1.5852467965171655e-05,1.0,0.0,1.0,1.0,557.8,5,5
main_morgan_r3_213,molecular_fingerprint,2.1969240610423586e-05,2.1969240610423586e-05,1.8582659821757086e-06,1.8582659821757086e-06,1.0,0.0,0.5,0.5,531.0,5,5
main_morgan_r3_161,molecular_fingerprint,2.12964946589409e-05,2.12964946589409e-05,-8.463607070590722e-06,-8.463607070590722e-06,1.0,0.0,0.5,0.5,518.2,5,5
main_morgan_r3_151,molecular_fingerprint,2.076546576240743e-05,2.076546576240743e-05,1.2181703820601795e-06,1.2181703820601795e-06,1.0,0.0,0.75,0.75,522.6,5,5
main_morgan_r3_30,molecular_fingerprint,1.9935479676429204e-05,1.9935479676429204e-05,-6.920048925612343e-07,-6.920048925612343e-07,1.0,0.0,0.5,0.5,504.6,5,5
main_morgan_r3_478,molecular_fingerprint,1.976803746300801e-05,1.976803746300801e-05,-1.976803746300801e-05,-1.976803746300801e-05,1.0,0.0,1.0,0.0,595.2,5,5
main_morgan_r3_436,molecular_fingerprint,1.9109431727883928e-05,1.9109431727883928e-05,-1.1556595550852458e-05,-1.1556595550852458e-05,1.0,0.0,0.6666666666666666,0.3333333333333333,574.2,5,5
main_morgan_r3_16,molecular_fingerprint,1.8824155746491063e-05,1.8824155746491063e-05,8.904059441192675e-07,8.904059441192675e-07,1.0,0.0,0.6666666666666666,0.3333333333333333,511.8,5,5
main_morgan_r3_185,molecular_fingerprint,1.806205721893801e-05,1.806205721893801e-05,5.081458940569265e-06,5.081458940569265e-06,1.0,0.0,0.5,0.5,539.8,5,5
main_morgan_r3_75,molecular_fingerprint,1.7689085266321557e-05,1.7689085266321557e-05,-6.84229045810348e-07,-6.84229045810348e-07,1.0,0.0,0.5,0.5,512.6,5,5
main_morgan_r3_449,molecular_fingerprint,1.5366051415494686e-05,1.5366051415494686e-05,-9.143731539255542e-06,-9.143731539255542e-06,1.0,0.0,0.6666666666666666,0.3333333333333333,590.6,5,5
main_morgan_r3_285,molecular_fingerprint,1.512843449035649e-05,1.512843449035649e-05,5.793369927687311e-06,5.793369927687311e-06,1.0,0.0,0.75,0.75,554.4,5,5
main_morgan_r3_404,molecular_fingerprint,1.487704675510473e-05,1.487704675510473e-05,-9.620450923714922e-06,-9.620450923714922e-06,1.0,0.0,0.75,0.25,571.8,5,5
main_morgan_r3_313,molecular_fingerprint,1.4510426563238828e-05,1.4510426563238828e-05,-3.191304093882587e-06,-3.191304093882587e-06,1.0,0.0,0.5,0.5,560.2,5,5
main_morgan_r3_353,molecular_fingerprint,1.3323618199996822e-05,1.3323618199996822e-05,-1.308034355775413e-05,-1.308034355775413e-05,1.0,0.0,1.0,0.0,574.0,5,5
main_morgan_r3_306,molecular_fingerprint,1.3199061474387643e-05,1.3199061474387643e-05,1.6758182114118535e-06,1.6758182114118535e-06,1.0,0.0,0.5,0.5,564.6,5,5
main_morgan_r3_88,molecular_fingerprint,1.3052489417731292e-05,1.3052489417731292e-05,5.927400322305073e-06,5.927400322305073e-06,1.0,0.0,0.75,0.75,528.4,5,5
main_morgan_r3_143,molecular_fingerprint,1.2760985571402569e-05,1.2760985571402569e-05,8.467633052507352e-06,8.467633052507352e-06,1.0,0.0,0.6666666666666666,0.6666666666666666,544.8,5,5
main_morgan_r3_35,molecular_fingerprint,1.2588533772199323e-05,1.2588533772199323e-05,5.6549754499965515e-06,5.6549754499965515e-06,1.0,0.0,0.75,0.75,520.8,5,5
main_morgan_r3_398,molecular_fingerprint,1.0795210213664242e-05,1.0795210213664242e-05,3.444933804882707e-06,3.444933804882707e-06,1.0,0.0,0.5,0.5,584.0,5,5
main_morgan_r3_359,molecular_fingerprint,1.0786478242683493e-05,1.0786478242683493e-05,5.129705499434246e-06,5.129705499434246e-06,1.0,0.0,0.6666666666666666,0.6666666666666666,576.6,5,5
main_morgan_r3_106,molecular_fingerprint,1.0402820013900459e-05,1.0402820013900459e-05,-9.134424181512361e-06,-9.134424181512361e-06,1.0,0.0,0.6666666666666666,0.3333333333333333,543.8,5,5
main_morgan_r3_459,molecular_fingerprint,1.0127071508659608e-05,1.0127071508659608e-05,1.0028658371968265e-07,1.0028658371968265e-07,1.0,0.0,0.6666666666666666,0.6666666666666666,600.4,5,5
main_morgan_r3_91,molecular_fingerprint,8.816123342083099e-06,8.816123342083099e-06,-1.4356936891444006e-06,-1.4356936891444006e-06,1.0,0.0,0.6666666666666666,0.6666666666666666,538.8,5,5
main_morgan_r3_142,molecular_fingerprint,8.745117610386741e-06,8.745117610386741e-06,-8.48268774340492e-06,-8.48268774340492e-06,1.0,0.0,0.6666666666666666,0.3333333333333333,552.4,5,5
main_morgan_r3_464,molecular_fingerprint,8.484798442067486e-06,8.484798442067486e-06,-6.173276129478231e-06,-6.173276129478231e-06,1.0,0.0,0.6666666666666666,0.3333333333333333,602.6,5,5
main_morgan_r3_127,molecular_fingerprint,8.224038844875597e-06,8.224038844875597e-06,8.146248520865306e-06,8.146248520865306e-06,1.0,0.0,1.0,1.0,543.4,5,5
main_morgan_r3_364,molecular_fingerprint,6.824032596442621e-06,6.824032596442621e-06,4.208924139877305e-07,4.208924139877305e-07,1.0,0.0,0.5,0.5,594.0,5,5
Synergy_type_P-N-C,other,6.502950558216173e-06,6.502950558216173e-06,-5.216008921151014e-06,-5.216008921151014e-06,1.0,0.0,0.6666666666666666,0.3333333333333333,528.0,5,5
main_morgan_r3_437,molecular_fingerprint,5.999841695787229e-06,5.999841695787229e-06,-3.63970042952941e-06,-3.63970042952941e-06,1.0,0.0,1.0,0.0,606.2,5,5
co_AliphaticRings,molecular_descriptor,5.839849706616304e-06,5.839849706616304e-06,5.839849706616304e-06,5.839849706616304e-06,1.0,0.0,1.0,1.0,633.8,5,5
main_morgan_r3_92,molecular_fingerprint,5.666098945476327e-06,5.666098945476327e-06,2.741341740892898e-06,2.741341740892898e-06,1.0,0.0,0.75,0.75,543.8,5,5
main_morgan_r3_169,molecular_fingerprint,3.980721865243847e-07,3.980721865243847e-07,3.980721865243847e-07,3.980721865243847e-07,1.0,0.0,1.0,1.0,579.0,5,5
main_morgan_r3_190,molecular_fingerprint,3.0103741156987475e-07,3.0103741156987475e-07,3.010329664397832e-08,3.010329664397832e-08,1.0,0.0,0.5,0.5,582.0,5,5
curing_morgan_r3_204,molecular_fingerprint,0.002170486896232753,0.0027131086202909415,-0.00025363953302512876,-0.00031704941628141095,0.8,0.0,0.6666666666666666,0.3333333333333333,298.0,4,5
curing_morgan_r3_89,molecular_fingerprint,0.001883620009832473,0.0023545250122905914,-0.00021776465221112515,-0.00027220581526390643,0.8,0.0,0.5,0.5,190.4,4,5
curing_morgan_r3_147,molecular_fingerprint,0.0006322739291386041,0.0007903424114232551,0.00023426643463566663,0.0002928330432945833,0.8,0.0,0.6666666666666666,0.6666666666666666,382.8,4,5
main_SaturatedHeterocycles,other,0.00048585664574305083,0.0006073208071788135,-5.401352163066522e-05,-6.751690203833153e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,256.4,4,5
main_morgan_r3_488,molecular_fingerprint,0.0004587440500601789,0.0005734300625752236,-0.0003217492832580117,-0.0004021866040725146,0.8,0.0,1.0,0.0,295.2,4,5
main_morgan_r3_194,molecular_fingerprint,0.0004561119269575707,0.0005701399086969634,-0.00030463073374474136,-0.0003807884171809267,0.8,0.0,1.0,0.0,296.6,4,5
curing_morgan_r3_336,molecular_fingerprint,0.0004529703051519442,0.0005662128814399302,6.455379698665331e-05,8.069224623331663e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,385.8,4,5
main_morgan_r3_207,molecular_fingerprint,0.0003499960993507456,0.00043749512418843204,0.00018301467390630127,0.00022876834238287657,0.8,0.0,0.6666666666666666,0.6666666666666666,322.4,4,5
main_morgan_r3_228,molecular_fingerprint,0.0003493862984355979,0.0004367328730444974,-0.0002925904237112667,-0.0003657380296390834,0.8,0.0,1.0,0.0,325.4,4,5
