feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
P_B_loading_sum,formulation_loading,0.03693635141295684,-0.004722571622064651,1,2,morgan_r3,GBDT,,678
P_N_loading_sum,formulation_loading,0.032828207895579914,-0.007561727665883067,2,2,morgan_r3,GBDT,,678
P_loading_x_Synergy,formulation_loading,0.031937005799978734,-0.001208827693836501,3,2,morgan_r3,GBDT,,678
P_x_curing_FractionCSP3,molecular_descriptor,0.028421879852666594,-0.0003066786376131122,4,2,morgan_r3,GBDT,,678
main_morgan_r3_128,molecular_fingerprint,0.027857529011411877,-9.630673606783949e-05,5,2,morgan_r3,GBDT,,678
P_x_curing_LogP,molecular_descriptor,0.026798144123587546,-0.005357682614334405,6,2,morgan_r3,GBDT,,678
P_x_CuringAgent_Has_N,molecular_descriptor,0.02513484416440315,-0.002768791655289964,7,2,morgan_r3,GBDT,,678
main_LogP,molecular_descriptor,0.02260581708548441,0.0008509269665673025,8,2,morgan_r3,GBDT,,678
P_x_curing_AromaticRings,molecular_descriptor,0.019249700409970413,-0.0012648015864499655,9,2,morgan_r3,GBDT,,678
P_x_curing_HBD,molecular_descriptor,0.017850530693882576,-0.001454130341182556,10,2,morgan_r3,GBDT,,678
main_morgan_r3_218,molecular_fingerprint,0.017679952813633652,-0.0031095855171490933,11,2,morgan_r3,GBDT,,678
main_TPSA,molecular_descriptor,0.017609564526600206,-0.0027402785681705146,12,2,morgan_r3,GBDT,,678
main_morgan_r3_363,molecular_fingerprint,0.014548676806670675,2.523283654276183e-05,13,2,morgan_r3,GBDT,,678
P_S_loading_sum,formulation_loading,0.014141104810104542,-0.002004792297996446,14,2,morgan_r3,GBDT,,678
main_BertzCT,other,0.011105017285508325,-0.0021122869817312884,15,2,morgan_r3,GBDT,,678
N_content wt%,elemental_composition,0.01110482245995113,-0.00029935068708306437,16,2,morgan_r3,GBDT,,678
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,0.009185572002996039,-0.0028738392928379743,17,2,morgan_r3,GBDT,,678
main_morgan_r3_82,molecular_fingerprint,0.006307850233361909,-0.000495382232474896,18,2,morgan_r3,GBDT,,678
main_RotBonds,other,0.006293660620106873,-0.0003941357458054627,19,2,morgan_r3,GBDT,,678
Loading_x_Synergy,formulation_loading,0.005784313131405966,-0.0006696805861131809,20,2,morgan_r3,GBDT,,678
P_Si_loading_ratio,formulation_loading,0.005664982007466857,-0.0010350935528453977,21,2,morgan_r3,GBDT,,678
N_content_wt%_sq,elemental_composition,0.005651591992954173,-0.00043698809029761235,22,2,morgan_r3,GBDT,,678
main_morgan_r3_40,molecular_fingerprint,0.0055826777657408365,0.001732689485298641,23,2,morgan_r3,GBDT,,678
