feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
main_morgan_r3_186,molecular_fingerprint,0.0001598404401798664,6.757269582831467e-05,391,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_253,molecular_fingerprint,0.00015858213423914293,4.292287058825021e-05,392,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_397,molecular_fingerprint,0.00015809455550958596,-0.00012483638495208678,393,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_270,molecular_fingerprint,0.00015763756289640838,-9.39108331225214e-05,394,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_211,molecular_fingerprint,0.0001572935578799988,-7.663427802850401e-05,395,4,morgan_r3,ExtraTrees,,672
co_HBA,other,0.0001541284148782375,-3.237059524748371e-05,396,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_303,molecular_fingerprint,0.0001532246796577713,0.0001257381980763562,397,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_507,molecular_fingerprint,0.00015289285745047777,3.1278636788481464e-05,398,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_339,molecular_fingerprint,0.00015277708486798427,0.00013801036083862074,399,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_442,molecular_fingerprint,0.00015227539796537965,-0.00015227539796537965,400,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_95,molecular_fingerprint,0.00015168706918221317,7.884126976993538e-05,401,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_466,molecular_fingerprint,0.00015063658590911983,-0.00014357361859083549,402,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_422,molecular_fingerprint,0.0001501550566215176,-3.6525188279167905e-05,403,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_463,molecular_fingerprint,0.00014996562395253927,0.00011913416858305938,404,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_415,molecular_fingerprint,0.00014861164445156936,0.00010824818421198755,405,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_53,molecular_fingerprint,0.0001479991191496942,-9.671773340730603e-05,406,4,morgan_r3,ExtraTrees,,672
co_BertzCT,other,0.00014781687081393913,-5.887701530734074e-05,407,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_439,molecular_fingerprint,0.0001445728396126671,-0.00014380125136237133,408,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_115,molecular_fingerprint,0.00014294354364873622,-2.944684986933529e-05,409,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_410,molecular_fingerprint,0.00014277705588027192,-6.110697431301069e-05,410,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_48,molecular_fingerprint,0.00014176998829820302,-0.00014176998829820302,411,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_283,molecular_fingerprint,0.00014126652836896232,-0.00014126652836896232,412,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_126,molecular_fingerprint,0.00013997303470205226,1.656282418783426e-05,413,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_396,molecular_fingerprint,0.0001397897170809238,-5.218334084244388e-05,414,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_280,molecular_fingerprint,0.00013793979329149248,-0.00013793979329149248,415,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_412,molecular_fingerprint,0.00013653368171819442,0.00013653368171819442,416,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_19,molecular_fingerprint,0.00013571119030539568,1.7968559420277566e-05,417,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_164,molecular_fingerprint,0.00013568564253157927,-6.998782976571273e-06,418,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_278,molecular_fingerprint,0.00013541880617244341,5.01921186879094e-05,419,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_277,molecular_fingerprint,0.00013452325821936665,0.00012562722627721873,420,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_258,molecular_fingerprint,0.00013380207761280697,-5.167000880378381e-05,421,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_209,molecular_fingerprint,0.00013227617591950663,-7.536497259580067e-05,422,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_476,molecular_fingerprint,0.00013226060941053995,-4.5180806867711626e-05,423,4,morgan_r3,ExtraTrees,,672
Si/P_ratio_sq,elemental_composition,0.00013203810794727312,-0.00012967841327287666,424,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_266,molecular_fingerprint,0.00013127075531746375,7.586478458231724e-06,425,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_77,molecular_fingerprint,0.00013117781704919038,9.478489081217842e-05,426,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_241,molecular_fingerprint,0.00013018016081022975,-8.276791405257376e-05,427,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_223,molecular_fingerprint,0.00012919884385054398,0.00012919884385054398,428,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_424,molecular_fingerprint,0.00012839398915125518,-0.000117546857866352,429,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_102,molecular_fingerprint,0.00012749144725217337,-5.844505999256457e-05,430,4,morgan_r3,ExtraTrees,,672
B_content_wt%_sq,elemental_composition,0.00012731007853596395,-2.5209492018581787e-05,431,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_144,molecular_fingerprint,0.0001270373047197558,0.0001270373047197558,432,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_18,molecular_fingerprint,0.00012540395143806414,-4.134837900083868e-05,433,4,morgan_r3,ExtraTrees,,672
B/P ratio,elemental_composition,0.0001246597411447207,-6.469672971560513e-05,434,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_103,molecular_fingerprint,0.00012406675563840882,-7.6288294642117e-05,435,4,morgan_r3,ExtraTrees,,672
co_morgan_r3_214,molecular_fingerprint,0.00012296578557652535,0.00012296578557652535,436,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_14,molecular_fingerprint,0.00012252965133967563,-6.593761003756525e-05,437,4,morgan_r3,ExtraTrees,,672
co_NumValenceElectrons,other,0.00012225577335761448,2.9301097629791522e-05,438,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_296,molecular_fingerprint,0.0001211691518394452,0.0001086242711108317,439,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_277,molecular_fingerprint,0.00011983137508145267,0.00011983137508145267,440,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_430,molecular_fingerprint,0.00011870231092264777,8.392507371960716e-07,441,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_361,molecular_fingerprint,0.00011788724107671239,-0.00011788724107671239,442,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_156,molecular_fingerprint,0.00011605247308243823,-9.412858967195347e-05,443,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_246,molecular_fingerprint,0.00011581731719843445,-8.666979156468335e-05,444,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_124,molecular_fingerprint,0.00011527024458997756,-5.9484489240162476e-05,445,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_122,molecular_fingerprint,0.00011522132822364032,-8.356966605911492e-05,446,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_444,molecular_fingerprint,0.00011346867468917961,2.001928946127047e-06,447,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_168,molecular_fingerprint,0.00011334073383951882,7.256461862549323e-05,448,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_406,molecular_fingerprint,0.00011327957193233354,9.965033937262211e-05,449,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_347,molecular_fingerprint,0.00011326796410457977,1.952411446104127e-05,450,4,morgan_r3,ExtraTrees,,672
Has_B,elemental_composition,0.00011274646174990094,-2.990334924665679e-05,451,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_172,molecular_fingerprint,0.00011251088269198642,1.912319654789169e-05,452,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_291,molecular_fingerprint,0.00011160365972715326,-0.00011160365972715326,453,4,morgan_r3,ExtraTrees,,672
co_LabuteASA,other,0.00011099322473278838,1.9092639386902493e-05,454,4,morgan_r3,ExtraTrees,,672
co_Kappa1,other,0.0001108300411998976,5.432083255117151e-05,455,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_200,molecular_fingerprint,0.00011031658754361786,4.4853704170336874e-05,456,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_295,molecular_fingerprint,0.00010833991563534561,0.00010833991563534561,457,4,morgan_r3,ExtraTrees,,672
co_MolMR,other,0.00010768599586375177,2.4711515510363016e-05,458,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_98,molecular_fingerprint,0.00010581070373531375,0.00010581070373531375,459,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_216,molecular_fingerprint,0.00010372180317346708,-0.00010372180317346708,460,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_373,molecular_fingerprint,0.00010303776052473444,-8.247055343695643e-05,461,4,morgan_r3,ExtraTrees,,672
co_NumHeteroAtoms,molecular_descriptor,0.0001027786541233885,3.695621256434201e-05,462,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_342,molecular_fingerprint,0.00010153441385391992,3.618060365940641e-05,463,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_113,molecular_fingerprint,0.0001003402216369093,-7.999149552808323e-05,464,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_498,molecular_fingerprint,0.00010019279877285368,-7.135797868522156e-05,465,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_477,molecular_fingerprint,9.925121587946876e-05,9.58515370580433e-05,466,4,morgan_r3,ExtraTrees,,672
