outer_fold,1,2,3,4,5
1,1.0,0.6083389548576296,0.35197598109372213,0.31611432894915653,0.4631299422992871
2,0.6083389548576296,1.0,0.35059690181574216,0.4472530028734049,0.5274138580470232
3,0.35197598109372213,0.35059690181574216,1.0,0.29411292754701984,0.2804289743360582
4,0.31611432894915653,0.4472530028734049,0.29411292754701984,1.0,0.35186142850788216
5,0.4631299422992871,0.5274138580470232,0.2804289743360582,0.35186142850788216,1.0
