feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
EP_matrix_Tg,ep_baseline,4.167201701893543,-0.2058119842442992,1,5,morgan_r3,SoftVote,270,270
curing_MolMR,molecular_descriptor,2.456812643089582,0.6084936312458874,2,5,morgan_r3,SoftVote,270,270
Cure_Temp_Max,curing_and_preparation,1.4236681162947262,0.17080241014199082,3,5,morgan_r3,SoftVote,270,270
EP_matrix_Tg_sq,ep_baseline,1.4011665924778582,-0.08170066206431974,4,5,morgan_r3,SoftVote,270,270
CuringAgent_Has_S,molecular_descriptor,1.3190602534632978,0.021786431998091958,5,5,morgan_r3,SoftVote,270,270
curing_morgan_r3_80,molecular_fingerprint,1.106282584190399,0.33486814920832547,6,5,morgan_r3,SoftVote,270,270
EP_matrix_Tg_sqrt,ep_baseline,0.9147354443134206,-0.05839410529737639,7,5,morgan_r3,SoftVote,270,270
curing_morgan_r3_144,molecular_fingerprint,0.8596615610271044,-0.24673254028210595,8,5,morgan_r3,SoftVote,270,270
main_morgan_r3_354,molecular_fingerprint,0.7028873605202645,-0.17409141561059563,9,5,morgan_r3,SoftVote,270,270
curing_morgan_r3_295,molecular_fingerprint,0.6307255965151339,0.6307255965151339,10,5,morgan_r3,SoftVote,270,270
main_BalabanJ,other,0.6091015411182721,-0.02830342254004857,11,5,morgan_r3,SoftVote,270,270
P_S_loading_sum,formulation_loading,0.5672017729687197,0.2134425034726107,12,5,morgan_r3,SoftVote,270,270
Synergy_x_EP_matrix_Tg,formulation_interaction,0.5462068826173223,0.05949995579400248,13,5,morgan_r3,SoftVote,270,270
curing_NHOHCount,molecular_descriptor,0.43497058578120146,0.10495541736664665,14,5,morgan_r3,SoftVote,270,270
curing_MolWt,molecular_descriptor,0.42729794461627196,0.11639769578100344,15,5,morgan_r3,SoftVote,270,270
P_loading_x_Synergy,formulation_loading,0.3869914455182582,0.16663998845326547,16,5,morgan_r3,SoftVote,270,270
P_N_loading_ratio,formulation_loading,0.37303461269726246,-0.073363817656896,17,5,morgan_r3,SoftVote,270,270
curing_HBD,molecular_descriptor,0.36005812722892083,-0.005508124372464864,18,5,morgan_r3,SoftVote,270,270
P_S_loading_ratio,formulation_loading,0.34928457853737405,-0.05064974538781628,19,5,morgan_r3,SoftVote,270,270
P_content_log,elemental_composition,0.32118300197576216,0.008513972814223421,20,5,morgan_r3,SoftVote,270,270
main_BertzCT,other,0.3180318680610375,0.03332505796321938,21,5,morgan_r3,SoftVote,270,270
P_Si_loading_ratio,formulation_loading,0.3090963311869375,0.06789075103622359,22,5,morgan_r3,SoftVote,270,270
P_x_curing_HBD,molecular_descriptor,0.26772629195642705,0.05717061150330698,23,5,morgan_r3,SoftVote,270,270
P_x_curing_RotBonds,molecular_descriptor,0.2570086519173923,-0.036079707183614834,24,5,morgan_r3,SoftVote,270,270
main_HBA,other,0.2569957147748465,0.04175152527646587,25,5,morgan_r3,SoftVote,270,270
main_morgan_r3_331,molecular_fingerprint,0.22698179502218002,-0.03972104056506565,26,5,morgan_r3,SoftVote,270,270
main_NHOHCount,other,0.22321255197432982,-0.13994983415172982,27,5,morgan_r3,SoftVote,270,270
main_morgan_r3_131,molecular_fingerprint,0.2180757108503517,0.06780572932622078,28,5,morgan_r3,SoftVote,270,270
main_morgan_r3_199,molecular_fingerprint,0.21462876099884007,-0.07389251099759281,29,5,morgan_r3,SoftVote,270,270
P_content_x_EP_matrix_Tg,formulation_interaction,0.2119220386532753,0.05887823008123194,30,5,morgan_r3,SoftVote,270,270
main_morgan_r3_295,molecular_fingerprint,0.20442067944086031,-0.09579524109464763,31,5,morgan_r3,SoftVote,270,270
curing_LabuteASA,molecular_descriptor,0.20330469187562505,0.055356839071265054,32,5,morgan_r3,SoftVote,270,270
curing_HBA,molecular_descriptor,0.19705163324234526,0.0350520132415652,33,5,morgan_r3,SoftVote,270,270
N_content wt%,elemental_composition,0.19650296410804544,0.060680813131272146,34,5,morgan_r3,SoftVote,270,270
main_morgan_r3_386,molecular_fingerprint,0.19304000011229186,-0.19304000011229186,35,5,morgan_r3,SoftVote,270,270
main_FractionCSP3,molecular_descriptor,0.1894354876717855,0.10862693324420737,36,5,morgan_r3,SoftVote,270,270
P_x_curing_LogP,molecular_descriptor,0.18891372980831406,-0.031112401700912513,37,5,morgan_r3,SoftVote,270,270
P_N_loading_sum,formulation_loading,0.1869812348391962,0.07600875907406522,38,5,morgan_r3,SoftVote,270,270
main_morgan_r3_360,molecular_fingerprint,0.15426234894847674,-0.10082557673136498,39,5,morgan_r3,SoftVote,270,270
curing_FractionCSP3,molecular_descriptor,0.14345458163468044,0.033088152874972555,40,5,morgan_r3,SoftVote,270,270
main_morgan_r3_231,molecular_fingerprint,0.14182452106388085,-0.004947486521872361,41,5,morgan_r3,SoftVote,270,270
main_morgan_r3_346,molecular_fingerprint,0.13923662599711897,-0.006402558017235369,42,5,morgan_r3,SoftVote,270,270
main_Kappa2,other,0.1389961568714177,0.020189926382241815,43,5,morgan_r3,SoftVote,270,270
main_morgan_r3_303,molecular_fingerprint,0.1336766236410498,0.1336766236410498,44,5,morgan_r3,SoftVote,270,270
CuringAgent_Has_N,molecular_descriptor,0.1324336880499808,-0.059809346651675636,45,5,morgan_r3,SoftVote,270,270
curing_NumValenceElectrons,molecular_descriptor,0.1316430058399284,-0.001117246163215627,46,5,morgan_r3,SoftVote,270,270
Loading_x_Synergy,formulation_loading,0.12801170092733458,0.04093386634680496,47,5,morgan_r3,SoftVote,270,270
curing_ExactMolWt,molecular_descriptor,0.11869596999936255,0.02544342906537673,48,5,morgan_r3,SoftVote,270,270
P_content wt%,elemental_composition,0.11565389440647775,0.002626774371483745,49,5,morgan_r3,SoftVote,270,270
P_x_curing_RingCount,molecular_descriptor,0.1114365892204983,0.040105977244025724,50,5,morgan_r3,SoftVote,270,270
main_Kappa3,other,0.11086275534702443,0.004652536556324639,51,5,morgan_r3,SoftVote,270,270
curing_HeavyAtomCount,molecular_descriptor,0.11071457149040527,-0.004379628670199216,52,5,morgan_r3,SoftVote,270,270
main_LogP,molecular_descriptor,0.1052519502802399,0.007455237264203557,53,5,morgan_r3,SoftVote,270,270
main_MolWt,molecular_descriptor,0.10417355989878864,0.0018079431287521838,54,5,morgan_r3,SoftVote,270,270
curing_NOCount,molecular_descriptor,0.10350743478586082,0.004863067732232453,55,5,morgan_r3,SoftVote,270,270
P_Si_loading_sum,formulation_loading,0.09248274235557294,0.0027137485265747146,56,5,morgan_r3,SoftVote,270,270
main_morgan_r3_208,molecular_fingerprint,0.0898488154527904,0.04287007600586448,57,5,morgan_r3,SoftVote,270,270
Loading_total_FR wt%,formulation_loading,0.08779894429797355,-0.05948351318337124,58,5,morgan_r3,SoftVote,270,270
main_morgan_r3_389,molecular_fingerprint,0.08503920840097298,-0.027367040812775186,59,5,morgan_r3,SoftVote,270,270
