feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
EP_matrix_Tg,ep_baseline,5.007674843366774,2.0968037468670975,1,1,morgan_r3,XGB,270,270
CuringAgent_Has_S,molecular_descriptor,2.8806696830749403,-2.1537741634966294,2,1,morgan_r3,XGB,270,270
Cure_Temp_Max,curing_and_preparation,1.6038405300619911,-0.5964225273140861,3,1,morgan_r3,XGB,270,270
curing_MolMR,molecular_descriptor,1.3004705103326382,0.2491036015536843,4,1,morgan_r3,XGB,270,270
curing_ExactMolWt,molecular_descriptor,1.080639588170258,-0.45780249786194555,5,1,morgan_r3,XGB,270,270
P_N_loading_ratio,formulation_loading,0.9297577270404954,0.40846448678782005,6,1,morgan_r3,XGB,270,270
P_x_curing_LogP,molecular_descriptor,0.9214382827840747,0.003691259747784988,7,1,morgan_r3,XGB,270,270
main_BalabanJ,other,0.8702570082284773,0.46179759247319035,8,1,morgan_r3,XGB,270,270
main_FractionCSP3,molecular_descriptor,0.7561454636520815,-0.03645518685535844,9,1,morgan_r3,XGB,270,270
EP_matrix_Tg_sq,ep_baseline,0.7363577144748218,0.35937914397050114,10,1,morgan_r3,XGB,270,270
main_morgan_r3_73,molecular_fingerprint,0.6435329859945664,-0.40072015488895374,11,1,morgan_r3,XGB,270,270
P_loading_x_Synergy,formulation_loading,0.6125901736434186,0.2702209068570907,12,1,morgan_r3,XGB,270,270
P_S_loading_sum,formulation_loading,0.5702308810698903,0.05961572081031692,13,1,morgan_r3,XGB,270,270
P_x_curing_FractionCSP3,molecular_descriptor,0.5693013593968419,-0.09222721097111287,14,1,morgan_r3,XGB,270,270
curing_morgan_r3_295,molecular_fingerprint,0.5006046224364805,0.5006046224364805,15,1,morgan_r3,XGB,270,270
main_morgan_r3_386,molecular_fingerprint,0.40596622444779823,-0.20122623603622847,16,1,morgan_r3,XGB,270,270
EP_matrix_Tg_sqrt,ep_baseline,0.32998021453877696,0.08776809701126899,17,1,morgan_r3,XGB,270,270
main_RingCount,molecular_descriptor,0.3281336075900537,-0.03974779706603537,18,1,morgan_r3,XGB,270,270
curing_NumHeteroAtoms,molecular_descriptor,0.31833811620463776,0.13230552174441976,19,1,morgan_r3,XGB,270,270
main_BertzCT,other,0.31341374868022587,0.024010829667418476,20,1,morgan_r3,XGB,270,270
curing_LabuteASA,molecular_descriptor,0.26953475923173964,0.26953475923173964,21,1,morgan_r3,XGB,270,270
curing_HBD,molecular_descriptor,0.26924314023099,-0.06069985474356347,22,1,morgan_r3,XGB,270,270
main_morgan_r3_208,molecular_fingerprint,0.2558182173325785,-0.2558182173325785,23,1,morgan_r3,XGB,270,270
curing_TPSA,molecular_descriptor,0.25370145955304085,-0.19889833824424477,24,1,morgan_r3,XGB,270,270
Synergy_x_EP_matrix_Tg,formulation_interaction,0.23316284177359192,0.05984727467979407,25,1,morgan_r3,XGB,270,270
curing_morgan_r3_80,molecular_fingerprint,0.2276037688582437,-0.13506943479820613,26,1,morgan_r3,XGB,270,270
main_morgan_r3_85,molecular_fingerprint,0.2270210199482326,-0.2270210199482326,27,1,morgan_r3,XGB,270,270
P_S_loading_ratio,formulation_loading,0.22557575721972775,-0.030203350877402245,28,1,morgan_r3,XGB,270,270
N/P ratio,elemental_composition,0.22533009571954607,0.10440220733017973,29,1,morgan_r3,XGB,270,270
P_x_curing_MolWt,molecular_descriptor,0.20229414071370336,0.008373415357329782,30,1,morgan_r3,XGB,270,270
P_x_curing_RotBonds,molecular_descriptor,0.18350895652237034,0.15391857902312447,31,1,morgan_r3,XGB,270,270
main_LogP,molecular_descriptor,0.18095352596551584,-0.03774355539793355,32,1,morgan_r3,XGB,270,270
main_morgan_r3_131,molecular_fingerprint,0.17226198509671822,-0.04581166250087943,33,1,morgan_r3,XGB,270,270
P_content_x_EP_matrix_Tg,formulation_interaction,0.16652218379959882,0.09344374582533616,34,1,morgan_r3,XGB,270,270
main_morgan_r3_326,molecular_fingerprint,0.16540302092002496,-0.07280074850552615,35,1,morgan_r3,XGB,270,270
