feature_group,mean_abs_shap_all_folds_sum,mean_abs_shap_all_folds_mean,max_top20_frequency,mean_selected_feature_frequency,n_features
molecular_descriptor,9.305315978985071,0.1755719996034919,1.0,0.781132075471698,53
ep_baseline,6.748860722513461,2.2496202408378205,1.0,1.0,3
molecular_fingerprint,4.500692935368815,0.01595990402613055,0.6,0.598581560283688,282
formulation_loading,2.745608615078241,0.11440035896159338,1.0,0.8416666666666667,24
curing_and_preparation,2.5401492116029387,0.6350373029007347,1.0,0.6,4
other,1.5755983421663375,0.046341127710774636,1.0,0.4294117647058824,34
elemental_composition,0.848002295521499,0.035333428980062455,0.2,0.7416666666666667,24
formulation_interaction,0.5483089195324253,0.27415445976621267,0.6,0.9,2
