feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_AromaticHeterocycles,other,0.0456065698727419,0.0456065698727419,-0.0186795209967669,-0.0186795209967669,1.0,0.0,0.8,0.2,52.2,5,5,Low
main_morgan_r2_107,molecular_fingerprint,0.0444183987052428,0.0444183987052428,0.0024261729527009,0.0024261729527009,1.0,0.2,0.6,0.4,66.0,5,5,Low
main_NumValenceElectrons,other,0.043443802359356,0.043443802359356,-0.0066254288800801,-0.0066254288800801,1.0,0.0,0.6,0.6,60.4,5,5,Low
curing_morgan_r2_5,molecular_fingerprint,0.0433241119835732,0.0541551399794665,0.0433241119835732,0.0541551399794665,0.8,0.0,1.0,1.0,89.2,4,5,Low
main_AliphaticRings,molecular_descriptor,0.0433061692655138,0.2165308463275692,-0.0152661321686839,-0.0763306608434197,0.2,0.0,1.0,0.0,166.6,1,5,Low
P_x_curing_MolWt,molecular_descriptor,0.0388573281260261,0.0971433203150654,-0.0141113393473559,-0.0352783483683897,0.4,0.0,0.5,0.5,139.2,2,5,Low
main_morgan_r2_91,molecular_fingerprint,0.0373041496993469,0.0466301871241836,0.0100032181292285,0.0125040226615357,0.8,0.2,0.6666666666666666,0.6666666666666666,113.6,4,5,Low
P_loading_real,formulation_loading,0.0359640694808123,0.0449550868510154,-0.0011494290896591,-0.0014367863620739,0.8,0.0,0.6666666666666666,0.3333333333333333,91.2,4,5,Low
curing_RotBonds,molecular_descriptor,0.0359588399181534,0.0359588399181534,0.0359588399181534,0.0359588399181534,1.0,0.0,1.0,1.0,80.6,5,5,Low
main_Kappa1,other,0.03480957094457,0.03480957094457,-0.0056745510178492,-0.0056745510178492,1.0,0.0,0.5,0.5,74.8,5,5,Low
curing_LabuteASA,molecular_descriptor,0.0328406712762222,0.0328406712762222,-0.0078967040499478,-0.0078967040499478,1.0,0.0,0.75,0.75,79.2,5,5,Low
P_loading_real_sqrt,formulation_loading,0.0326988854289995,0.0544981423816658,0.0011388241803073,0.0018980403005122,0.6,0.2,0.5,0.5,125.2,3,5,Low
main_morgan_r2_71,molecular_fingerprint,0.0324385672858591,0.0810964182146479,-0.001311761891983,-0.0032794047299576,0.4,0.0,0.5,0.5,139.0,2,5,Low
S_content wt%,elemental_composition,0.0312761941279422,0.0312761941279422,-0.0130070664077875,-0.0130070664077875,1.0,0.0,0.8,0.2,69.6,5,5,Low
main_morgan_r2_38,molecular_fingerprint,0.0297220373079815,0.0495367288466359,0.0037686164946975,0.0062810274911626,0.6,0.0,0.6666666666666666,0.6666666666666666,118.6,3,5,Low
main_morgan_r2_75,molecular_fingerprint,0.0293991079076507,0.0293991079076507,0.0021504492299444,0.0021504492299444,1.0,0.0,0.6666666666666666,0.3333333333333333,79.0,5,5,Low
main_Kappa2,other,0.0286837326094478,0.0286837326094478,-0.0025295258283796,-0.0025295258283796,1.0,0.0,0.75,0.25,71.2,5,5,Low
main_morgan_r2_1,molecular_fingerprint,0.0280062624123125,0.0466771040205208,0.0018576695533897,0.0030961159223162,0.6,0.0,0.5,0.5,114.8,3,5,Low
main_ExactMolWt,molecular_descriptor,0.0276073386401896,0.0276073386401896,-0.0078519093825461,-0.0078519093825461,1.0,0.0,0.8,0.2,65.0,5,5,Low
curing_morgan_r2_39,molecular_fingerprint,0.0276020475646845,0.0345025594558556,0.0002623137256749,0.0003278921570936,0.8,0.2,0.6666666666666666,0.3333333333333333,112.4,4,5,Low
S_loading_real,formulation_loading,0.0268113248273581,0.0268113248273581,-0.0119045663013984,-0.0119045663013984,1.0,0.0,0.8,0.2,63.0,5,5,Low
main_morgan_r2_55,molecular_fingerprint,0.026007290842842,0.026007290842842,0.0007571133472754,0.0007571133472754,1.0,0.0,0.5,0.5,71.6,5,5,Low
main_morgan_r2_123,molecular_fingerprint,0.0255403799732973,0.0638509499332434,0.00937426180699,0.0234356545174751,0.4,0.0,0.5,0.5,148.6,2,5,Low
Main_FR_fraction,formulation_loading,0.0255362562788968,0.0255362562788968,-0.0013989888936118,-0.0013989888936118,1.0,0.0,0.6666666666666666,0.3333333333333333,79.2,5,5,Low
main_AromaticCarbocycles,other,0.0252337000355869,0.0252337000355869,-0.0004057487752672,-0.0004057487752672,1.0,0.0,0.8,0.8,65.6,5,5,Low
curing_FractionCSP3,molecular_descriptor,0.0238862251587406,0.0238862251587406,-0.0177012753438114,-0.0177012753438114,1.0,0.0,0.5,0.5,103.8,5,5,Low
curing_morgan_r2_19,molecular_fingerprint,0.0236821188432743,0.0296026485540929,0.0236821188432743,0.0296026485540929,0.8,0.0,1.0,1.0,100.2,4,5,Low
curing_NHOHCount,molecular_descriptor,0.0236276087338363,0.0236276087338363,-0.0021950762985636,-0.0021950762985636,1.0,0.0,0.75,0.75,89.8,5,5,Low
curing_morgan_r2_80,molecular_fingerprint,0.0226795815184366,0.0283494768980457,0.0018275828252456,0.0022844785315571,0.8,0.0,1.0,1.0,105.6,4,5,Low
main_morgan_r2_110,molecular_fingerprint,0.0225077022131144,0.028134627766393,0.0055729864688797,0.0069662330860996,0.8,0.0,0.5,0.5,107.2,4,5,Low
curing_morgan_r2_49,molecular_fingerprint,0.0223366986544677,0.0279208733180846,0.0223366986544677,0.0279208733180846,0.8,0.0,1.0,1.0,105.0,4,5,Low
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.0219151358404943,0.1095756792024719,0.0088087311542738,0.0440436557713692,0.2,0.0,1.0,1.0,169.4,1,5,Low
curing_NOCount,molecular_descriptor,0.0212367428493562,0.0265459285616953,0.0051116057002228,0.0063895071252785,0.8,0.0,0.5,0.5,100.0,4,5,Low
P_Si_loading_sum,formulation_loading,0.0211028848412011,0.0263786060515014,-0.0042102201248684,-0.0052627751560855,0.8,0.0,1.0,0.0,93.6,4,5,Low
P_x_curing_HeavyAtomCount,molecular_descriptor,0.0210223682719515,0.1051118413597578,-0.0114974935183701,-0.0574874675918507,0.2,0.0,1.0,0.0,170.0,1,5,Low
Loading_total_FR wt%,formulation_loading,0.020042368616858,0.1002118430842902,-0.0080885576625885,-0.0404427883129429,0.2,0.0,1.0,0.0,170.4,1,5,Low
main_morgan_r2_33,molecular_fingerprint,0.0199981219224799,0.0333302032041332,-0.0031173623620756,-0.0051956039367928,0.6,0.0,1.0,0.0,126.4,3,5,Low
CuringAgent_Has_S,molecular_descriptor,0.0198522615071603,0.0248153268839503,0.0015711547479405,0.0019639434349257,0.8,0.0,0.6666666666666666,0.6666666666666666,110.6,4,5,Low
main_morgan_r2_80,molecular_fingerprint,0.0196601644628522,0.0983008223142613,-0.0006162939747145,-0.0030814698735727,0.2,0.0,1.0,0.0,170.2,1,5,Low
main_LabuteASA,other,0.0194361151816584,0.0194361151816584,-0.0030831458935767,-0.0030831458935767,1.0,0.0,0.75,0.25,79.2,5,5,Low
main_morgan_r2_121,molecular_fingerprint,0.01900925817921,0.01900925817921,0.002187274956037,0.002187274956037,1.0,0.0,0.5,0.5,94.6,5,5,Low
main_morgan_r2_50,molecular_fingerprint,0.0179111482177645,0.0223889352722056,-0.0018908223330416,-0.002363527916302,0.8,0.0,0.6666666666666666,0.3333333333333333,98.8,4,5,Low
main_morgan_r2_102,molecular_fingerprint,0.0178112873611732,0.0890564368058664,-0.004008926603561,-0.0200446330178051,0.2,0.0,1.0,0.0,168.4,1,5,Low
N/P ratio,elemental_composition,0.0172360730395481,0.0172360730395481,-0.0058629254674319,-0.0058629254674319,1.0,0.0,1.0,0.0,75.4,5,5,Low
main_HeavyAtomCount,other,0.0165264741548716,0.0165264741548716,-0.0027515328473066,-0.0027515328473066,1.0,0.0,0.75,0.25,80.2,5,5,Low
main_morgan_r2_39,molecular_fingerprint,0.0165202315438252,0.082601157719126,0.0109013799921824,0.0545068999609121,0.2,0.0,1.0,1.0,167.2,1,5,Low
main_morgan_r2_127,molecular_fingerprint,0.0157069533117444,0.0392673832793612,-0.006568675417518,-0.016421688543795,0.4,0.0,1.0,0.0,148.2,2,5,Low
S_loading_real_sqrt,formulation_loading,0.0148917866013904,0.0148917866013904,-0.0035941745855952,-0.0035941745855952,1.0,0.0,0.8,0.2,84.4,5,5,Low
main_morgan_r2_36,molecular_fingerprint,0.0141934522936562,0.0709672614682812,-0.0075526361257279,-0.0377631806286398,0.2,0.0,1.0,0.0,172.0,1,5,Low
main_morgan_r2_114,molecular_fingerprint,0.0140749082346566,0.0351872705866415,0.0129375149620076,0.032343787405019,0.4,0.0,1.0,1.0,149.4,2,5,Low
curing_NumValenceElectrons,molecular_descriptor,0.0139958224687492,0.0174947780859365,-0.0109505756542707,-0.0136882195678384,0.8,0.0,0.5,0.5,126.8,4,5,Low
main_AromaticRings,molecular_descriptor,0.0137423212335879,0.0137423212335879,0.0008699434997285,0.0008699434997285,1.0,0.0,0.5,0.5,82.6,5,5,Low
S_loading_real_sq,formulation_loading,0.0130956586465276,0.0163695733081595,-0.0060985987445893,-0.0076232484307367,0.8,0.0,1.0,0.0,100.2,4,5,Low
main_morgan_r2_23,molecular_fingerprint,0.0130087661732975,0.0162609577166219,-0.0037762692502851,-0.0047203365628563,0.8,0.0,0.6666666666666666,0.6666666666666666,110.0,4,5,Low
curing_morgan_r2_81,molecular_fingerprint,0.0119151734366277,0.0148939667957847,-0.0003690868768081,-0.0004613585960102,0.8,0.0,0.5,0.5,116.0,4,5,Low
