feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
main_morgan_r2_44,molecular_fingerprint,0.00822946607891936,-0.0033119504483183847,107,5,compact,SoftVote,140,140
S/P ratio,elemental_composition,0.008047152551460185,0.0007052159671568204,108,5,compact,SoftVote,140,140
curing_morgan_r2_39,molecular_fingerprint,0.008019705931656062,-0.006878122924413116,109,5,compact,SoftVote,140,140
N/P_ratio_sq,elemental_composition,0.00716064724206808,-0.0026008732750164593,110,5,compact,SoftVote,140,140
S_loading_real_sqrt,formulation_loading,0.007116886786081724,-0.002878691490118702,111,5,compact,SoftVote,140,140
Has_P,elemental_composition,0.006749360216160614,0.0010250676913807787,112,5,compact,SoftVote,140,140
main_morgan_r2_98,molecular_fingerprint,0.0064765719050644995,-0.0009946445676291145,113,5,compact,SoftVote,140,140
P_x_curing_HBD,molecular_descriptor,0.006464159190888393,-0.0017606572928012204,114,5,compact,SoftVote,140,140
main_co_similarity_sq,other,0.006181570872457492,-0.006181570872457492,115,5,compact,SoftVote,140,140
curing_morgan_r2_10,molecular_fingerprint,0.006073613083863167,-0.0034693073620308272,116,5,compact,SoftVote,140,140
main_morgan_r2_94,molecular_fingerprint,0.005427879434615736,-0.000808576289713124,117,5,compact,SoftVote,140,140
S_content_wt%_sq,elemental_composition,0.005213730271937997,-0.0016470430530931073,118,5,compact,SoftVote,140,140
curing_morgan_r2_5,molecular_fingerprint,0.004844779314576751,0.004844779314576751,119,5,compact,SoftVote,140,140
main_morgan_r2_60,molecular_fingerprint,0.004686090466592253,-0.00043061986402608476,120,5,compact,SoftVote,140,140
main_morgan_r2_77,molecular_fingerprint,0.004553497127651806,-0.002767459676387565,121,5,compact,SoftVote,140,140
main_morgan_r2_106,molecular_fingerprint,0.004429596869326714,-0.001604024633998051,122,5,compact,SoftVote,140,140
main_NumValenceElectrons,other,0.004280347638087632,0.0009306208840539006,123,5,compact,SoftVote,140,140
curing_NOCount,molecular_descriptor,0.0037799864424289107,-0.00044745557698317665,124,5,compact,SoftVote,140,140
curing_RotBonds,molecular_descriptor,0.003605960670651662,0.003605960670651662,125,5,compact,SoftVote,140,140
