feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
curing_AromaticRings,molecular_descriptor,0.0004499940601953616,0.0007499901003256027,0.0004499940601953616,0.0007499901003256027,0.6,0.0,1.0,1.0,160.4,3,5
P_x_curing_MolWt,molecular_descriptor,0.03885732812602617,0.09714332031506544,-0.014111339347355912,-0.03527834836838978,0.4,0.0,0.5,0.5,139.2,2,5
main_morgan_r2_71,molecular_fingerprint,0.032438567285859185,0.08109641821464797,-0.0013117618919830792,-0.003279404729957698,0.4,0.0,0.5,0.5,139.0,2,5
main_morgan_r2_123,molecular_fingerprint,0.025540379973297396,0.06385094993324349,0.009374261806990044,0.02343565451747511,0.4,0.0,0.5,0.5,148.6,2,5
main_morgan_r2_127,molecular_fingerprint,0.01570695331174448,0.039267383279361204,-0.006568675417518026,-0.016421688543795065,0.4,0.0,1.0,0.0,148.2,2,5
main_morgan_r2_114,molecular_fingerprint,0.014074908234656628,0.03518727058664157,0.012937514962007604,0.03234378740501901,0.4,0.0,1.0,1.0,149.4,2,5
main_morgan_r2_111,molecular_fingerprint,0.005709797044644237,0.014274492611610594,-0.0009935462669029623,-0.0024838656672574056,0.4,0.0,1.0,0.0,161.2,2,5
curing_HBA,molecular_descriptor,0.001717947755249527,0.004294869388123818,1.4211499923840194e-05,3.5528749809600486e-05,0.4,0.0,1.0,1.0,168.4,2,5
main_morgan_r2_95,molecular_fingerprint,0.0002467574217380623,0.0006168935543451557,-0.0001357165819559343,-0.00033929145488983573,0.4,0.0,1.0,0.0,160.8,2,5
main_morgan_r2_43,molecular_fingerprint,0.00013316459977665007,0.0003329114994416252,6.877058328917394e-05,0.00017192645822293486,0.4,0.0,1.0,1.0,165.2,2,5
Co_FR_fraction,formulation_loading,0.0,0.0,0.0,0.0,0.4,0.0,,,153.4,2,5
CuringAgent_Has_B,molecular_descriptor,0.0,0.0,0.0,0.0,0.4,0.0,,,154.6,2,5
P_x_CuringAgent_Has_B,molecular_descriptor,0.0,0.0,0.0,0.0,0.4,0.0,,,157.0,2,5
curing_HBD,molecular_descriptor,0.0,0.0,0.0,0.0,0.4,0.0,,,173.2,2,5
curing_morgan_r2_8,molecular_fingerprint,0.0,0.0,0.0,0.0,0.4,0.0,,,175.8,2,5
main_morgan_r2_61,molecular_fingerprint,0.0,0.0,0.0,0.0,0.4,0.0,,,164.6,2,5
main_AliphaticRings,molecular_descriptor,0.043306169265513846,0.21653084632756922,-0.015266132168683949,-0.07633066084341975,0.2,0.0,1.0,0.0,166.6,1,5
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.021915135840494378,0.1095756792024719,0.008808731154273847,0.04404365577136923,0.2,0.0,1.0,1.0,169.4,1,5
P_x_curing_HeavyAtomCount,molecular_descriptor,0.02102236827195157,0.10511184135975785,-0.011497493518370159,-0.05748746759185079,0.2,0.0,1.0,0.0,170.0,1,5
Loading_total_FR wt%,formulation_loading,0.020042368616858038,0.1002118430842902,-0.008088557662588588,-0.04044278831294294,0.2,0.0,1.0,0.0,170.4,1,5
main_morgan_r2_80,molecular_fingerprint,0.019660164462852275,0.09830082231426138,-0.000616293974714548,-0.00308146987357274,0.2,0.0,1.0,0.0,170.2,1,5
main_morgan_r2_102,molecular_fingerprint,0.017811287361173288,0.08905643680586645,-0.004008926603561032,-0.02004463301780516,0.2,0.0,1.0,0.0,168.4,1,5
main_morgan_r2_39,molecular_fingerprint,0.016520231543825214,0.08260115771912607,0.010901379992182436,0.05450689996091218,0.2,0.0,1.0,1.0,167.2,1,5
main_morgan_r2_36,molecular_fingerprint,0.014193452293656242,0.07096726146828121,-0.00755263612572796,-0.0377631806286398,0.2,0.0,1.0,0.0,172.0,1,5
main_morgan_r2_7,molecular_fingerprint,0.009708825065157354,0.04854412532578677,-0.0076173534397131325,-0.038086767198565664,0.2,0.0,1.0,0.0,168.6,1,5
main_morgan_r2_37,molecular_fingerprint,0.009637786898708253,0.048188934493541266,0.0030233139259657127,0.015116569629828564,0.2,0.0,1.0,1.0,173.0,1,5
P_x_curing_RingCount,molecular_descriptor,0.008665776774764825,0.04332888387382412,-0.00013131119119815367,-0.0006565559559907683,0.2,0.0,1.0,0.0,172.0,1,5
P_x_curing_AromaticRings,molecular_descriptor,0.008303320694905825,0.041516603474529123,-0.003088787041413477,-0.015443935207067386,0.2,0.0,1.0,0.0,172.4,1,5
main_morgan_r2_19,molecular_fingerprint,0.0068494929688481115,0.03424746484424056,-7.720845536543783e-05,-0.00038604227682718917,0.2,0.0,1.0,0.0,169.2,1,5
P_loading_real_sq,formulation_loading,0.005245876312375259,0.0262293815618763,-0.0009588771625063736,-0.004794385812531868,0.2,0.0,1.0,0.0,176.6,1,5
curing_BalabanJ,molecular_descriptor,0.004882812960852039,0.024414064804260196,0.0020777518069914854,0.010388759034957427,0.2,0.0,1.0,1.0,179.0,1,5
main_morgan_r2_85,molecular_fingerprint,0.0045925090204064645,0.022962545102032324,-0.0013786657297840484,-0.006893328648920242,0.2,0.0,1.0,0.0,170.8,1,5
main_morgan_r2_54,molecular_fingerprint,0.004549357759981202,0.022746788799906006,0.0017388563302273934,0.008694281651136967,0.2,0.0,1.0,1.0,177.6,1,5
main_morgan_r2_67,molecular_fingerprint,0.003315800994586866,0.016579004972934328,0.0008883881236975771,0.004441940618487885,0.2,0.0,1.0,1.0,179.2,1,5
Preparation_Method_DOPO-based (additive),curing_and_preparation,0.002924042859902749,0.014620214299513743,0.000315048388945751,0.0015752419447287549,0.2,0.0,1.0,1.0,176.6,1,5
Loading_total_FR_sq,formulation_loading,0.0021511651745710807,0.010755825872855404,-0.00014213805271981228,-0.0007106902635990613,0.2,0.0,1.0,0.0,180.4,1,5
main_morgan_r2_125,molecular_fingerprint,0.001354430992621928,0.00677215496310964,-0.0004727335527461644,-0.002363667763730822,0.2,0.0,1.0,0.0,185.6,1,5
P_x_CuringAgent_Has_S,molecular_descriptor,0.0012717565321984392,0.006358782660992195,0.0002305420643029114,0.0011527103215145569,0.2,0.0,1.0,1.0,185.8,1,5
main_morgan_r2_109,molecular_fingerprint,0.0006898606196045875,0.0034493030980229378,0.0006898606196045875,0.0034493030980229378,0.2,0.0,1.0,1.0,173.8,1,5
main_morgan_r2_65,molecular_fingerprint,0.0003719499349020993,0.0018597496745104967,-0.00017104683921505246,-0.0008552341960752623,0.2,0.0,1.0,0.0,184.0,1,5
main_morgan_r2_93,molecular_fingerprint,9.088448150497345e-05,0.0004544224075248672,2.417133986536002e-06,1.208566993268001e-05,0.2,0.0,1.0,1.0,189.6,1,5
B_loading_real_sqrt,formulation_loading,0.0,0.0,0.0,0.0,0.2,0.0,,,186.6,1,5
co_AromaticRings,molecular_descriptor,0.0,0.0,0.0,0.0,0.2,0.0,,,186.0,1,5
co_RotBonds,other,0.0,0.0,0.0,0.0,0.2,0.0,,,184.2,1,5
co_morgan_r2_10,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,186.2,1,5
co_morgan_r2_15,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,186.4,1,5
main_morgan_r2_103,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,184.8,1,5
main_morgan_r2_117,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,185.4,1,5
main_morgan_r2_118,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,185.2,1,5
main_morgan_r2_35,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,183.6,1,5
main_morgan_r2_5,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,178.6,1,5
main_morgan_r2_72,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,182.4,1,5
main_morgan_r2_9,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,179.0,1,5
main_morgan_r2_97,molecular_fingerprint,0.0,0.0,0.0,0.0,0.2,0.0,,,187.8,1,5
