task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,outer_R2,outer_RMSE,outer_MAE,n_test_neat,n_test_modified,outer_modified_R2,outer_modified_RMSE,outer_modified_MAE,conformal_alpha,conformal_q,conformal_n_calibration,outer_PICP,outer_MPIW,outer_modified_PICP,outer_modified_MPIW
TS_MPa,1,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140,140,303,GBDT,0.48797915568238237,-11.40253237050464,204,52,54,14,0,0.5581165386193077,10.923996695668698,9.334227417729336,13,39,0.6287916959933862,10.817670700661257,9.158227843170872,0.05,28.669246133005558,40,1.0,57.33849226601113,1.0,57.33849226601112
TS_MPa,2,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140,140,298,GBDT,0.4473735881555839,-11.16058635894633,204,52,54,14,0,0.4985967762113538,14.04770182568164,11.293499005141749,13,39,0.5897796643470847,12.952891852508113,10.870988262418008,0.05,23.154504129364284,40,0.9230769230769231,46.309008258728575,0.9487179487179487,46.30900825872859
TS_MPa,3,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140,140,292,XGB,0.4800633488805398,-11.81928954926367,204,52,54,14,0,0.3687965751536805,11.84841744271718,9.604699701162485,14,38,0.4022389455720905,11.862756108287813,9.570791200336656,0.05,37.6667724609375,40,1.0,75.33354492187497,1.0,75.33354492187496
TS_MPa,4,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140,140,302,RF,0.4956871525672295,-11.639878276461532,206,50,55,13,0,0.36611677410902244,11.857322769771821,9.524349246230866,13,37,0.4758131476018652,10.398307319678223,8.356116813854033,0.05,33.648896802859326,42,1.0,67.29779360571865,1.0,67.29779360571865
TS_MPa,5,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140,140,292,SoftVote,0.3694797605817195,-13.288052799041445,206,50,55,13,0,0.5191226361339438,9.110149097604724,7.005652418362237,13,37,0.6051058892265329,8.74254229540157,6.436212157800187,0.05,27.835818533936724,42,0.98,55.671637067873434,0.972972972972973,55.67163706787344
