outer_fold,non_V0_recall,V0_recall
1,0.7619047619047619,0.8823529411764706
2,0.796875,0.6739130434782609
3,0.7285714285714285,0.8793103448275862
4,0.7833333333333333,0.7321428571428571
5,0.6790123456790124,0.96
