outer_fold,mean_probability,fraction_positive
1,0.00037675395539484344,0.0
1,0.24899892510951618,0.17391304347826086
1,0.5115167219052118,0.36363636363636365
1,0.6534770068342259,0.6956521739130435
1,0.7821886463399693,1.0
2,0.02814731354091426,0.0
2,0.14223913254527537,0.16666666666666666
2,0.3867291946030509,0.5454545454545454
2,0.7242580068000826,0.7727272727272727
2,0.9208348940713244,0.6363636363636364
3,0.0010849004044261887,0.0
3,0.18786266815810626,0.2916666666666667
3,0.4471526458435574,0.4230769230769231
3,0.6144897596366491,0.68
3,0.7384303709135585,0.8846153846153846
4,0.00019263414378950947,0.0
4,0.18693058973127477,0.17391304347826086
4,0.42854661003530803,0.6521739130434783
4,0.6805006138224975,0.6956521739130435
4,0.8310323922831466,0.9130434782608695
5,0.00011358900142761824,0.0
5,0.2040970097463401,0.04
5,0.5448766622233332,0.46153846153846156
5,0.7262739725762887,0.6153846153846154
5,0.8665212279805321,0.8076923076923077
