task,mean_pairwise_spearman,min,max
LOI,0.5668322923827772,0.4862570148365927,0.7792931287512006
PHRR,0.6215212256737614,0.546642824585683,0.7961000486883366
THR,0.5025339366515837,0.2048480930833872,0.718552036199095
UL94_V0,0.5972465759846626,0.3140526701653236,0.8109370025757855
Tg,0.39912263003269255,0.2804289743360582,0.6083389548576296
TS_MPa,0.3780031709383128,0.1352794998463256,0.6230635162182625
