task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level,source_csv,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note,child_importance_rank
LOI,P_N_loading_product,formulation_loading,0.0988733386555902,0.0988733386555902,0.0019742899429077,0.0019742899429077,1.0,0.6,0.6,0.4,33.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,P–N loading–composition interaction,P–N添加量–组成交互,formulation_interaction,interaction_product,none,p_n_loading,product-type engineered interaction built from legacy loading×composition features; it is not a direct elemental-loading measurement.,14
LOI,main_morgan_r2_75,molecular_fingerprint,0.0832444734141169,0.0832444734141169,-0.0049644549585856,-0.0049644549585856,1.0,0.6,0.6,0.6,36.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,Main FR MORGAN_R2 bit 75,主阻燃剂MORGAN_R2指纹位75,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.,15
LOI,N_content_wt%_sq,elemental_composition,0.0719618100720622,0.0719618100720622,-0.0101088280105243,-0.0101088280105243,1.0,0.6,0.8,0.2,38.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\LOI_SHAP_stable_features_filtered.csv,N content,氮含量,elemental_composition,base_or_transform,square,n_content,Base and mathematical transforms merged into one parent variable.,16
PHRR,EP_matrix_PHRR,ep_baseline,44.800209410158175,44.800209410158175,-1.8920715146294795,-1.8920715146294795,1.0,1.0,0.6,0.6,2.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,1
PHRR,P_x_curing_HBA,molecular_descriptor,37.19900127196157,37.19900127196157,2.505574932023321,2.505574932023321,1.0,1.0,0.6,0.4,4.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,interaction,none,p_curing_hba,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,2
PHRR,P_x_curing_TPSA,molecular_descriptor,29.31496841017957,29.31496841017957,-3.312111452752164,-3.312111452752164,1.0,1.0,0.6,0.4,4.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,interaction,none,p_curing_tpsa,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,3
PHRR,EP_matrix_PHRR_sq,ep_baseline,26.836635195054367,26.836635195054367,1.0568748347104386,1.0568748347104386,1.0,1.0,0.6,0.6,4.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,4
PHRR,EP_matrix_PHRR_sqrt,ep_baseline,26.5549747936472,26.5549747936472,4.45528036930956,4.45528036930956,1.0,0.8,0.6,0.6,13.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,EP matrix PHRR,未改性EP的PHRR基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,5
PHRR,Loading_total_FR wt%,formulation_loading,23.29554882700877,23.29554882700877,-3.2081493156641216,-3.2081493156641216,1.0,1.0,0.6,0.4,6.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,none,fr_loading,Base and mathematical transforms merged into one parent variable.,6
PHRR,curing_morgan_r2_22,molecular_fingerprint,20.39879272866542,20.39879272866542,2.4295335706480228,2.4295335706480228,1.0,1.0,0.6,0.6,7.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Curing agent MORGAN_R2 bit 22,固化剂MORGAN_R2指纹位22,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.,7
PHRR,Loading_total_FR_sqrt,formulation_loading,17.33826613670162,17.33826613670162,0.0048677740547708,0.0048677740547708,1.0,0.8,0.6,0.4,15.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,sqrt,fr_loading,Base and mathematical transforms merged into one parent variable.,8
PHRR,Cone_flux_kW_m2,test_condition,14.099315117982774,14.099315117982774,0.751531108474341,0.751531108474341,1.0,0.8,0.6,0.6,13.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Cone_flux_kW_m2,Cone_flux_kW_m2,test_condition,direct,none,other,Direct mapping; review manually if used in the manuscript.,9
PHRR,main_TPSA,molecular_descriptor,11.89371018393066,11.89371018393066,-1.145809979810477,-1.145809979810477,1.0,0.8,0.8,0.2,14.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR TPSA,主阻燃剂拓扑极性表面积,molecular_descriptor,molecular_descriptor,none,descriptor_tpsa,Molecular descriptor retained at scope-specific parent level.,10
PHRR,main_FractionCSP3,molecular_descriptor,11.708718839922678,11.708718839922678,-1.0626365206746011,-1.0626365206746011,1.0,0.8,0.8,0.2,14.6,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR FractionCSP3,主阻燃剂sp3碳比例,molecular_descriptor,molecular_descriptor,none,descriptor_fractioncsp3,Molecular descriptor retained at scope-specific parent level.,11
PHRR,Cure_Temp_Max,curing_and_preparation,10.678912717945014,10.678912717945014,1.371727241017982,1.371727241017982,1.0,0.6,0.6,0.6,16.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Maximum cure temperature,最高固化温度,curing_and_preparation,base_or_transform,none,cure_temperature,Base and mathematical transforms merged into one parent variable.,12
PHRR,Loading_total_FR_sq,formulation_loading,10.123119770074952,10.123119770074952,-0.091538234595164,-0.091538234595164,1.0,0.8,0.6,0.4,15.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,square,fr_loading,Base and mathematical transforms merged into one parent variable.,13
PHRR,main_MolWt,molecular_descriptor,10.04830743726907,10.04830743726907,-2.0871126976516807,-2.0871126976516807,1.0,0.6,0.8,0.2,20.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR MolWt,主阻燃剂分子量,molecular_descriptor,molecular_descriptor,none,descriptor_molwt,Molecular descriptor retained at scope-specific parent level.,14
PHRR,main_RotBonds,other,9.991003488375608,9.991003488375608,-2.067335461586844,-2.067335461586844,1.0,0.8,1.0,0.0,14.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR RotBonds,主阻燃剂可旋转键数,molecular_descriptor,molecular_descriptor,none,descriptor_rotbonds,Molecular descriptor retained at scope-specific parent level.,15
PHRR,Synergy_x_EP_matrix_PHRR,formulation_interaction,7.759660575986456,7.759660575986456,1.3738239646616968,1.3738239646616968,1.0,0.8,0.6,0.6,17.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Synergy × EP matrix PHRR,协同状态×未改性EP的PHRR,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.,16
PHRR,Cone_flux_sq,test_condition,7.647959280377417,7.647959280377417,0.003320423314141,0.003320423314141,1.0,1.0,0.6,0.6,15.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Cone_flux,Cone_flux,test_condition,direct,square,other,Direct mapping; review manually if used in the manuscript.,17
PHRR,main_LogP,molecular_descriptor,7.604411965120239,7.604411965120239,0.0795246322723492,0.0795246322723492,1.0,0.6,0.6,0.6,17.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR LogP,主阻燃剂脂水分配/疏水性,molecular_descriptor,molecular_descriptor,none,descriptor_logp,Molecular descriptor retained at scope-specific parent level.,18
PHRR,P_x_curing_LogP,molecular_descriptor,7.193656741907851,7.193656741907851,-0.6670708595139893,-0.6670708595139893,1.0,0.6,0.8,0.2,19.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,19
PHRR,main_morgan_r2_107,molecular_fingerprint,6.696162717102999,6.696162717102999,-0.5472845828179158,-0.5472845828179158,1.0,0.6,0.6,0.4,27.0,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,Main FR MORGAN_R2 bit 107,主阻燃剂MORGAN_R2指纹位107,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.,20
PHRR,P_x_curing_MolWt,molecular_descriptor,5.4617755821703415,5.4617755821703415,0.4772549311400825,0.4772549311400825,1.0,0.6,0.6,0.4,19.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\PHRR_SHAP_stable_features_filtered.csv,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,interaction,none,p_curing_molwt,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,21
THR,EP_matrix_THR,ep_baseline,3.347602687660149,3.347602687660149,0.2963803941115637,0.2963803941115637,1.0,1.0,0.6,0.4,3.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,none,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,1
THR,Synergy_x_EP_matrix_THR,formulation_interaction,2.43863343568283,3.048291794603537,-0.3671793062409156,-0.4589741328011446,0.8,0.8,0.75,0.25,9.6,4,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,Synergy × EP matrix THR,协同状态×未改性EP的THR,formulation_interaction,interaction,none,synergy_ep_baseline,Interaction feature; do not merge with the EP baseline main effect.,2
THR,EP_matrix_THR_sq,ep_baseline,2.3784987258529293,2.3784987258529293,-0.1694585885395812,-0.1694585885395812,1.0,1.0,0.6,0.4,3.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,3
THR,EP_matrix_THR_sqrt,ep_baseline,1.929207209258912,1.929207209258912,-0.262527077823888,-0.262527077823888,1.0,0.8,0.6,0.4,8.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.,4
THR,P_x_CuringAgent_Has_S,molecular_descriptor,1.523937209817703,1.523937209817703,0.0671159103139856,0.0671159103139856,1.0,1.0,0.6,0.6,5.0,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent S presence,磷含量×固化剂含S,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.,5
