feature_group,group_label,contribution,contribution_percent
elemental_composition,Elemental composition,11.977763398835387,2.6558320792403936
formulation_interaction,formulation_interaction,12.502165242272945,2.772107813852891
curing_and_preparation,Curing and preparation,12.783612943371493,2.8345132737302055
other,Other features,15.50387988618741,3.4376786536316115
test_condition,Test conditions,24.592219793409093,5.452838234675506
formulation_loading,Formulation and loading,50.939809366057936,11.294894991657717
molecular_fingerprint,Molecular fingerprints,84.6662195369702,18.77305924210847
ep_baseline,EP baseline property,98.19181939885974,21.772093436394556
molecular_descriptor,Molecular descriptors,139.84103147988444,31.006982274708648
