feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
EP_matrix_LOI_sqrt,ep_baseline,0.135593760171914,0.135593760171914,-0.0148598824465779,-0.0148598824465779,1.0,0.8,0.6,0.6,16.6,5,5,Medium
P_x_curing_AromaticRings,molecular_descriptor,0.1052602066732737,0.1052602066732737,-0.0198254914935636,-0.0198254914935636,1.0,0.4,0.6,0.4,28.8,5,5,Low
Loading_x_Synergy,formulation_loading,0.1038087014929366,0.1038087014929366,-0.0033394772937368,-0.0033394772937368,1.0,0.6,0.8,0.2,20.6,5,5,Medium
P_N_loading_product,formulation_loading,0.0988733386555902,0.0988733386555902,0.0019742899429077,0.0019742899429077,1.0,0.6,0.6,0.4,33.6,5,5,Medium
N_loading_real_sqrt,formulation_loading,0.0942313117689469,0.0942313117689469,-0.0036089352313233,-0.0036089352313233,1.0,0.4,0.6,0.4,19.8,5,5,Low
main_morgan_r2_75,molecular_fingerprint,0.0832444734141169,0.0832444734141169,-0.0049644549585856,-0.0049644549585856,1.0,0.6,0.6,0.6,36.6,5,5,Medium
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,0.0794673927026551,0.0794673927026551,-0.0173997339047871,-0.0173997339047871,1.0,0.4,0.8,0.2,21.8,5,5,Low
main_morgan_r2_31,molecular_fingerprint,0.078015091827014,0.078015091827014,0.0057951089420896,0.0057951089420896,1.0,0.4,0.5,0.5,55.2,5,5,Low
N_content_wt%_sq,elemental_composition,0.0719618100720622,0.0719618100720622,-0.0101088280105243,-0.0101088280105243,1.0,0.6,0.8,0.2,38.2,5,5,Medium
N_loading_real,formulation_loading,0.0684575538967826,0.0684575538967826,-0.0104057392621164,-0.0104057392621164,1.0,0.4,0.6,0.4,30.6,5,5,Low
P_N_loading_sum,formulation_loading,0.0679186490781086,0.0679186490781086,-0.0193327092945587,-0.0193327092945587,1.0,0.4,1.0,0.0,31.0,5,5,Low
N_content wt%,elemental_composition,0.0604038917369086,0.0604038917369086,-0.0095838409277564,-0.0095838409277564,1.0,0.4,0.8,0.2,32.2,5,5,Low
main_LogP,molecular_descriptor,0.0550892014081379,0.0550892014081379,-0.0076248887970752,-0.0076248887970752,1.0,0.2,0.6,0.6,45.0,5,5,Low
curing_HBA,molecular_descriptor,0.054157846561395,0.054157846561395,0.0067298675960157,0.0067298675960157,1.0,0.2,0.8,0.8,32.0,5,5,Low
Main_FR_fraction,formulation_loading,0.0526359228093473,0.0526359228093473,-0.0041575189913281,-0.0041575189913281,1.0,0.2,0.5,0.5,125.8,5,5,Low
main_RingCount,molecular_descriptor,0.0504836535429711,0.0504836535429711,-0.0032420904080045,-0.0032420904080045,1.0,0.2,0.6,0.4,46.6,5,5,Low
P_S_loading_ratio,formulation_loading,0.0500908146757655,0.0500908146757655,-0.0096335102784662,-0.0096335102784662,1.0,0.2,0.8,0.2,33.0,5,5,Low
Loading_x_EP_matrix_LOI,formulation_interaction,0.0494862380211791,0.0494862380211791,-0.0078892709404578,-0.0078892709404578,1.0,0.2,0.6,0.4,34.2,5,5,Low
N_content_wt%_sqrt,elemental_composition,0.0479303548275773,0.0479303548275773,-0.0020319027069994,-0.0020319027069994,1.0,0.2,0.6,0.4,43.8,5,5,Low
P_S_loading_sum,formulation_loading,0.047229054589809,0.047229054589809,-0.0111720304556948,-0.0111720304556948,1.0,0.2,0.8,0.2,55.4,5,5,Low
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.0412105538163154,0.0412105538163154,0.0034777965386775,0.0034777965386775,1.0,0.2,0.8,0.8,38.0,5,5,Low
main_morgan_r2_11,molecular_fingerprint,0.0401641179411659,0.0401641179411659,0.0042585052432211,0.0042585052432211,1.0,0.0,0.6,0.6,42.0,5,5,Low
curing_LogP,molecular_descriptor,0.0379403351246592,0.0379403351246592,0.0002937648775662,0.0002937648775662,1.0,0.2,0.6,0.6,44.4,5,5,Low
P_x_curing_TPSA,molecular_descriptor,0.0363482651368408,0.0363482651368408,-0.0104140604045695,-0.0104140604045695,1.0,0.0,1.0,0.0,39.4,5,5,Low
N_loading_real_sq,formulation_loading,0.0361992614296451,0.0361992614296451,0.0048855833191905,0.0048855833191905,1.0,0.0,0.5,0.5,74.8,5,5,Low
main_HBA,other,0.0336597470847383,0.0336597470847383,0.0165388117680631,0.0165388117680631,1.0,0.0,0.8,0.8,40.4,5,5,Low
Synergy_flag(single=0&synergy=1),other,0.0333861167274375,0.0333861167274375,-0.0050791332507734,-0.0050791332507734,1.0,0.2,0.6666666666666666,0.3333333333333333,64.4,5,5,Low
main_HBD,other,0.0330612969946974,0.0330612969946974,-0.0005315362823366,-0.0005315362823366,1.0,0.2,0.6,0.4,43.2,5,5,Low
LOI_Thickness_mm,test_condition,0.0329293896577734,0.054882316096289,-0.0054536248439537,-0.0090893747399228,0.6,0.2,0.6666666666666666,0.3333333333333333,134.6,3,5,Low
main_morgan_r2_40,molecular_fingerprint,0.0327659914614128,0.0327659914614128,0.0148464709175506,0.0148464709175506,1.0,0.2,1.0,1.0,88.8,5,5,Low
P_x_CuringAgent_Has_N,molecular_descriptor,0.0325226937891422,0.0325226937891422,-0.0018777187775831,-0.0018777187775831,1.0,0.4,0.5,0.5,57.8,5,5,Low
main_morgan_r2_110,molecular_fingerprint,0.0324854589030352,0.0324854589030352,0.0046360711163332,0.0046360711163332,1.0,0.0,0.75,0.75,74.8,5,5,Low
main_morgan_r2_52,molecular_fingerprint,0.031739423970273,0.031739423970273,0.00380020479724,0.00380020479724,1.0,0.2,0.75,0.75,63.0,5,5,Low
Preparation_Method_DOPO-based (Co-curing),molecular_descriptor,0.0311417344328189,0.0311417344328189,-0.0001958796735754,-0.0001958796735754,1.0,0.0,0.5,0.5,77.2,5,5,Low
