feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r3_6,molecular_fingerprint,0.0003152996498794,0.0003152996498794,2.0939922084093217e-05,2.0939922084093217e-05,1.0,0.0,0.6,0.6,239.0,5,5,Low
main_morgan_r3_428,molecular_fingerprint,0.0003102082554461,0.0003102082554461,2.580478401506088e-05,2.580478401506088e-05,1.0,0.0,0.5,0.5,310.2,5,5,Low
main_morgan_r3_251,molecular_fingerprint,0.0003095185812115,0.0003095185812115,3.572218522600558e-05,3.572218522600558e-05,1.0,0.0,0.75,0.75,277.2,5,5,Low
main_morgan_r3_421,molecular_fingerprint,0.0003086855540745,0.0003086855540745,-4.739431690520332e-05,-4.739431690520332e-05,1.0,0.0,0.75,0.25,314.8,5,5,Low
curing_AliphaticRings,molecular_descriptor,0.0003076568184523,0.0003076568184523,6.103977461091535e-05,6.103977461091535e-05,1.0,0.0,0.75,0.25,357.6,5,5,Low
Has_S,elemental_composition,0.0003068514303957,0.0003068514303957,-0.0001486826506126,-0.0001486826506126,1.0,0.0,0.5,0.5,362.0,5,5,Low
main_morgan_r3_152,molecular_fingerprint,0.000304627289904,0.000304627289904,-8.533148836178839e-05,-8.533148836178839e-05,1.0,0.0,0.75,0.25,276.6,5,5,Low
main_morgan_r3_385,molecular_fingerprint,0.0003044026206452,0.0003044026206452,-0.0001556920020487,-0.0001556920020487,1.0,0.0,1.0,0.0,295.4,5,5,Low
main_morgan_r3_482,molecular_fingerprint,0.0003035986787123,0.0003035986787123,-8.541143674836328e-05,-8.541143674836328e-05,1.0,0.0,0.75,0.25,319.6,5,5,Low
main_morgan_r3_281,molecular_fingerprint,0.000303280732194,0.000303280732194,3.249435875514449e-05,3.249435875514449e-05,1.0,0.0,0.75,0.75,293.8,5,5,Low
main_morgan_r3_502,molecular_fingerprint,0.0002995108191266,0.0002995108191266,3.2836968172505974e-05,3.2836968172505974e-05,1.0,0.0,0.5,0.5,322.6,5,5,Low
main_morgan_r3_210,molecular_fingerprint,0.0002988577168072,0.0002988577168072,0.0001301128047356,0.0001301128047356,1.0,0.0,0.75,0.75,295.6,5,5,Low
main_morgan_r3_451,molecular_fingerprint,0.0002978669451343,0.0002978669451343,-1.7660546464570115e-05,-1.7660546464570115e-05,1.0,0.0,0.75,0.25,317.8,5,5,Low
main_morgan_r3_146,molecular_fingerprint,0.0002966005306139,0.0002966005306139,-5.465394645310755e-06,-5.465394645310755e-06,1.0,0.0,0.5,0.5,260.8,5,5,Low
main_morgan_r3_0,molecular_fingerprint,0.0002954029430995,0.0002954029430995,-5.450761463877366e-06,-5.450761463877366e-06,1.0,0.0,0.5,0.5,238.4,5,5,Low
main_morgan_r3_203,molecular_fingerprint,0.0002945474090651,0.0002945474090651,-0.0001032539661072,-0.0001032539661072,1.0,0.0,0.75,0.25,293.4,5,5,Low
main_morgan_r3_370,molecular_fingerprint,0.00029354159487,0.00029354159487,0.0001109755004604,0.0001109755004604,1.0,0.0,0.75,0.75,315.6,5,5,Low
main_morgan_r3_112,molecular_fingerprint,0.0002893947991713,0.0002893947991713,-7.130606824795253e-05,-7.130606824795253e-05,1.0,0.0,0.75,0.25,267.6,5,5,Low
curing_RotBonds,molecular_descriptor,0.0002890183445016,0.0002890183445016,2.114675193430076e-05,2.114675193430076e-05,1.0,0.0,0.5,0.5,342.2,5,5,Low
main_morgan_r3_8,molecular_fingerprint,0.0002826543421866,0.0002826543421866,-8.405644888288262e-05,-8.405644888288262e-05,1.0,0.0,0.5,0.5,250.2,5,5,Low
main_morgan_r3_507,molecular_fingerprint,0.0002819292195517,0.0002819292195517,-7.993351124147333e-05,-7.993351124147333e-05,1.0,0.0,0.75,0.25,346.8,5,5,Low
main_morgan_r3_485,molecular_fingerprint,0.0002773357013996,0.0002773357013996,0.0001100118726017,0.0001100118726017,1.0,0.0,1.0,1.0,338.8,5,5,Low
main_morgan_r3_198,molecular_fingerprint,0.000276143212345,0.000276143212345,0.0001168455850383,0.0001168455850383,1.0,0.0,0.6666666666666666,0.6666666666666666,331.8,5,5,Low
main_morgan_r3_111,molecular_fingerprint,0.0002757578847079,0.0002757578847079,-6.179292710604362e-05,-6.179292710604362e-05,1.0,0.0,0.5,0.5,296.8,5,5,Low
co_morgan_r3_356,molecular_fingerprint,0.000274540527129,0.000274540527129,-6.855850974437459e-05,-6.855850974437459e-05,1.0,0.0,0.5,0.5,343.2,5,5,Low
main_morgan_r3_188,molecular_fingerprint,0.0002738454290487,0.0002738454290487,2.5213028595283995e-05,2.5213028595283995e-05,1.0,0.0,0.5,0.5,372.4,5,5,Low
main_morgan_r3_84,molecular_fingerprint,0.0002608155919105,0.0002608155919105,5.763485301091556e-05,5.763485301091556e-05,1.0,0.0,0.6,0.6,268.6,5,5,Low
main_morgan_r3_73,molecular_fingerprint,0.0002595888867296,0.0002595888867296,-4.60257194474091e-05,-4.60257194474091e-05,1.0,0.0,0.75,0.25,287.0,5,5,Low
main_morgan_r3_114,molecular_fingerprint,0.0002594891315592,0.0002594891315592,-0.0001147281162627,-0.0001147281162627,1.0,0.0,0.5,0.5,304.6,5,5,Low
main_morgan_r3_208,molecular_fingerprint,0.0002586331867688,0.0002586331867688,-0.0001530219832623,-0.0001530219832623,1.0,0.0,0.75,0.25,314.2,5,5,Low
main_morgan_r3_486,molecular_fingerprint,0.00025837120617,0.00025837120617,-0.0001002834213189,-0.0001002834213189,1.0,0.0,0.75,0.25,334.8,5,5,Low
main_morgan_r3_467,molecular_fingerprint,0.0002553951591676,0.0002553951591676,-6.895805873563016e-05,-6.895805873563016e-05,1.0,0.0,0.75,0.75,371.0,5,5,Low
main_morgan_r3_131,molecular_fingerprint,0.0002543089143477,0.0002543089143477,-1.8923930093221345e-05,-1.8923930093221345e-05,1.0,0.0,0.75,0.25,314.6,5,5,Low
main_morgan_r3_321,molecular_fingerprint,0.0002539327780331,0.0002539327780331,3.2358457412016146e-05,3.2358457412016146e-05,1.0,0.0,0.5,0.5,335.8,5,5,Low
