task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
LOI,scaffold_status,New_scaffold,452,0.7233100849278894,2.6729551630735386,2.040985776013201,1.5772729610808405,1.8827608411182641,2.199095709423212
LOI,scaffold_status,Seen_scaffold,147,0.6959698730147752,2.4813136059274785,1.8366415379952248,1.3119769065882707,1.577193579726565,2.107433790984783
