Candidate_ID,Candidate_Name,SMILES_raw,Canonical_SMILES,Synergy_type,Preparation_Method,Reference_ID,Source_Type,Design_Family,DOPO_Count,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Molecular_Weight,Murcko_Scaffold,P_molecular_wt_pct,N_molecular_wt_pct,S_molecular_wt_pct,B_molecular_wt_pct,Si_molecular_wt_pct,Training_Duplicate,Screening_Eligible,Notes
TRAIN_123,PABO,O=P(C1=C2C=CC=C1)(C(C3=CC=C(O)C=C3)NC4=CC=C(C#N)C=C4)OC5=C2C=CC=C5,N#Cc1ccc(NC(c2ccc(O)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,P-N,DOPO-based (reactive),https://doi.org/10.1016/j.polymdegradstab.2022.110142,training_seed,P-N,1,review_manually,NH2/NH;OH,DOPO-based (reactive),A,438.4230000000002,O=P1(C(Nc2ccccc2)c2ccccc2)Oc2ccccc2-c2ccccc21,7.064866578623838,6.389719517452321,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_124,DPAK,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)CNCCC[Si](OC)(OC)OC,CO[Si](CCCNCP1(=O)Oc2ccccc2-c2ccccc21)(OC)OC,P-N-Si,DOPO-based (reactive),https://doi.org/10.1002/app.49427,training_seed,P-N-Si,1,review_manually,NH2/NH,DOPO-based (reactive),A,407.47900000000016,O=[PH]1Oc2ccccc2-c2ccccc21,7.601373322306178,3.4374777595900636,0.0,0.0,6.8926251414183275,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_125,ANDD,O=P(C1=C2C=CC=C1)(C(NC3=C4C=CC=C(NC(P5(C6=C(C7=C(O5)C=CC=C7)C=CC=C6)=O)C8=CC=C(O)C(O)=C8)C4=CC=C3)C9=CC=C(O)C(O)=C9)OC%10=C2C=CC=C%10,O=P1(C(Nc2cccc3c(NC(c4ccc(O)c(O)c4)P4(=O)Oc5ccccc5-c5ccccc54)cccc23)c2ccc(O)c(O)c2)Oc2ccccc2-c2ccccc21,P-N,DOPO-based (Co-curing),https://doi.org/10.1016/j.eurpolymj.2024.113605,training_seed,P-N,2,review_manually,NH2/NH;OH,DOPO-based (Co-curing),A,830.7700000000002,O=P1(C(Nc2cccc3c(NC(c4ccccc4)P4(=O)Oc5ccccc5-c5ccccc54)cccc23)c2ccccc2)Oc2ccccc2-c2ccccc21,7.456696799354813,3.372052433284783,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_126,PHAO,O=P(C1=C2C=CC=C1)(C(NC3=CC=C(C#N)C=C3)C4=CC(O)=C(O)C=C4)OC5=C2C=CC=C5,N#Cc1ccc(NC(c2ccc(O)c(O)c2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,P-N,DOPO-based (reactive),https://doi.org/10.1002/app.54680,training_seed,P-N,1,review_manually,NH2/NH;OH,DOPO-based (reactive),A,454.4220000000002,O=P1(C(Nc2ccccc2)c2ccccc2)Oc2ccccc2-c2ccccc21,6.816131261250553,6.164754347280719,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_127,HP-DOPO,OC1=C(CCCP2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)C=CC=C1,O=P1(CCCc2ccccc2O)Oc2ccccc2-c2ccccc21,P-only,DOPO-based (additive),https://doi.org/10.1016/j.polymdegradstab.2023.110579,training_seed,P-only,1,review_manually,OH,DOPO-based (additive),A,350.3540000000001,O=P1(CCCc2ccccc2)Oc2ccccc2-c2ccccc21,8.84077247583872,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_128,DOPO-DA,O=P(C1=CC=CC=C21)(NCCC3=CC=C(O)C(O)=C3)OC4=C2C=CC=C4,O=P1(NCCc2ccc(O)c(O)c2)Oc2ccccc2-c2ccccc21,P-N,DOPO-based (additive),https://doi.org/10.1016/j.cej.2024.149910,training_seed,P-N,1,review_manually,OH,DOPO-based (additive),A,367.34100000000007,O=P1(NCCc2ccccc2)Oc2ccccc2-c2ccccc21,8.431947427594523,3.813078311432701,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_129,BDO,O=P(CC(NC1=NNC(NC(P2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)C5=CC=CS5)=N1)C6=CC=CS6)(C7=C8C=CC=C7)OC9=C8C=CC=C9,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2cccs2)Oc2ccccc2-c2ccccc21,P-N-S,DOPO-based (Co-curing),https://doi.org/10.1016/j.compositesb.2021.109392,training_seed,P-N-S,2,review_manually,NH2/NH,DOPO-based (Co-curing),A,733.7520000000003,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2cccs2)Oc2ccccc2-c2ccccc21,8.442634568628089,9.544778072155166,8.740555392012556,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_130,PDPO,O=P(C1=C2C=CC=C1)(C(NC3=CC=C(CC4=CC=C(NC(P5(C6=C(C7=C(O5)C=CC=C7)C=CC=C6)=O)C8=CC=C(C#N)C=C8)C=C4)C=C3)C9=CC=C(C#N)C=C9)OC%10=C2C=CC=C%10.O=C=O.O=C=O,N#Cc1ccc(C(Nc2ccc(Cc3ccc(NC(c4ccc(C#N)cc4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1.O=C=O.O=C=O,P-N,DOPO-based (additive),https://doi.org/10.1016/j.porgcoat.2023.107897,training_seed,P-N,2,review_manually,NH2/NH,DOPO-based (additive),A,944.8770000000003,O=P1(C(Nc2ccc(Cc3ccc(NC(c4ccccc4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)cc2)c2ccccc2)Oc2ccccc2-c2ccccc21,6.556197261654161,5.929660685994048,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_131,ABD,O=P(CCC(P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)=O)O)(C4=C5C=CC=C4)OC6=C5C=CC=C6,O=P1(CCC(O)P2(=O)Oc3ccccc3-c3ccccc32)Oc2ccccc2-c2ccccc21,P-P,DOPO-based (reactive),https://doi.org/10.1016/j.polymdegradstab.2019.06.024,training_seed,P-only,2,review_manually,OH,DOPO-based (reactive),A,488.4160000000002,O=P1(CCCP2(=O)Oc3ccccc3-c3ccccc32)Oc2ccccc2-c2ccccc21,12.68345017362248,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_132,DCAD,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)C(/C=C/C4=CC=CC=C4)NC(C=C5)=CC=C5NC(P6(C7=C(C8=C(O6)C=CC=C8)C=CC=C7)=O)/C=C/C9=CC=CC=C9,O=P1(C(/C=C/c2ccccc2)Nc2ccc(NC(/C=C/c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,P-N,DOPO-based (reactive),https://doi.org/10.1016/j.polymdegradstab.2019.109063,training_seed,P-N,2,review_manually,NH2/NH;allyl/vinyl,DOPO-based (reactive),A,768.7900000000002,O=P1(C(/C=C/c2ccccc2)Nc2ccc(NC(/C=C/c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,8.057857152148179,3.6439079592606554,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_133,DQ,O=P(C1=C2C=CC=C1)(OC3=CC4=C(C(C(O)=C(O4)C5=CC=C(O)C(OP6(C7=C(C8=CC=CC=C8O6)C=CC=C7)=O)=C5)=O)C(O)=C3)OC9=C2C=CC=C9,O=c1c(O)c(-c2ccc(O)c(OP3(=O)Oc4ccccc4-c4ccccc43)c2)oc2cc(OP3(=O)Oc4ccccc4-c4ccccc43)cc(O)c12,P-only,DOPO-based (reactive),https://doi.org/10.1016/j.susmat.2025.e01575,training_seed,P-only,2,review_manually,OH,DOPO-based (reactive),A,730.5580000000001,O=c1cc(-c2cccc(OP3(=O)Oc4ccccc4-c4ccccc43)c2)oc2cc(OP3(=O)Oc4ccccc4-c4ccccc43)ccc12,8.479545771862055,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_134,DOPO-THPO,O=P(OCP(COP1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)=O)(COP4(C5=C(C6=C(O4)C=CC=C6)C=CC=C5)=O)=O)(C7=C8C=CC=C7)OC9=C8C=CC=C9,O=P(COP1(=O)Oc2ccccc2-c2ccccc21)(COP1(=O)Oc2ccccc2-c2ccccc21)COP1(=O)Oc2ccccc2-c2ccccc21,P-P,DOPO-based (additive),https://doi.org/10.1016/j.polymdegradstab.2018.01.024,training_seed,P-only,3,review_manually,none,DOPO-based (additive),A,782.5550000000002,O=P(COP1(=O)Oc2ccccc2-c2ccccc21)(COP1(=O)Oc2ccccc2-c2ccccc21)COP1(=O)Oc2ccccc2-c2ccccc21,15.832241823258427,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_135,TDCA-DOPO-1,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)C(OP(C4=CC=CC=C4)C5=CC=CC=C5)C(C=C6)=CC=C6C(P7(C8=C(C9=C(O7)C=CC=C9)C=CC=C8)=O)OP(C%10=CC=CC=C%10)C%11=CC=CC=C%11,O=P1(C(OP(c2ccccc2)c2ccccc2)c2ccc(C(OP(c3ccccc3)c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,P-only,DOPO-based (additive),https://doi.org/10.1007/s00289-023-04997-x,training_seed,P-only,2,review_manually,none,DOPO-based (additive),A,934.8420000000002,O=P1(C(OP(c2ccccc2)c2ccccc2)c2ccc(C(OP(c3ccccc3)c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)cc2)Oc2ccccc2-c2ccccc21,13.25314866041534,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_136,TDCA-DOPO-2,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)C(OP(C4=CC=CC=C4)(C5=CC=CC=C5)=O)C(C=C6)=CC=C6C(P7(C8=C(C9=C(O7)C=CC=C9)C=CC=C8)=O)OP(C%10=CC=CC=C%10)(C%11=CC=CC=C%11)=O,O=P(OC(c1ccc(C(OP(=O)(c2ccccc2)c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21)(c1ccccc1)c1ccccc1,P-only,DOPO-based (additive),https://doi.org/10.1007/s00289-023-04997-x,training_seed,P-only,2,review_manually,none,DOPO-based (additive),A,966.8400000000001,O=P(OC(c1ccc(C(OP(=O)(c2ccccc2)c2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21)(c1ccccc1)c1ccccc1,12.814529808448139,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_137,TDCA-DOPO-3,O=P1(C2=C(C3=C(O1)C=CC=C3)C=CC=C2)C(OP(OC4=CC=CC=C4)(OC5=CC=CC=C5)=O)C(C=C6)=CC=C6C(P7(C8=C(C9=C(O7)C=CC=C9)C=CC=C8)=O)OP(OC%10=CC=CC=C%10)(OC%11=CC=CC=C%11)=O,O=P(Oc1ccccc1)(Oc1ccccc1)OC(c1ccc(C(OP(=O)(Oc2ccccc2)Oc2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,P-only,DOPO-based (additive),https://doi.org/10.1007/s00289-023-04997-x,training_seed,P-only,2,review_manually,none,DOPO-based (additive),A,1030.8360000000002,O=P(Oc1ccccc1)(Oc1ccccc1)OC(c1ccc(C(OP(=O)(Oc2ccccc2)Oc2ccccc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1)P1(=O)Oc2ccccc2-c2ccccc21,12.018982650974547,0.0,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
TRAIN_138,VDG,COC1=CC(C(P2(C3=C(C4=C(O2)C=CC=C4)C=CC=C3)=O)NC5=NN=C(N5)NC(P6(C7=C(C8=C(O6)C=CC=C8)C=CC=C7)=O)C9=CC=C(O)C(OC)=C9)=CC=C1O,COc1cc(C(Nc2nnc(NC(c3ccc(O)c(OC)c3)P3(=O)Oc4ccccc4-c4ccccc43)[nH]2)P2(=O)Oc3ccccc3-c3ccccc32)ccc1O,P-N,DOPO-based (Co-curing),https://doi.org/10.1016/j.polymer.2021.123460,training_seed,P-N,2,review_manually,NH2/NH;OH,DOPO-based (Co-curing),A,799.7170000000002,O=P1(C(Nc2nnc(NC(c3ccccc3)P3(=O)Oc4ccccc4-c4ccccc43)[nH]2)c2ccccc2)Oc2ccccc2-c2ccccc21,7.746240232482239,8.757472956058203,0.0,0.0,0.0,True,False,"Existing training molecule; use as design reference, not as a new discovery."
