Candidate_ID,Candidate_Name,Parent_Seed_ID,Parent_Name,Transformation_Code,Design_Change,Attachment_Position,Canonical_SMILES,Molecular_Formula,Molecular_Weight,DOPO_Count_Computed,Design_Family,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Strict_Screening_Eligible,Parent_Tanimoto_r3,Max_Train_Tanimoto_r3,Nearest_Training_ID,Nearest_Training_Name,Fragment_Count,Formal_Charge,Radical_Electrons,Heavy_Atom_Count,Risk_Flags
CAND_R2_312,D-AZ-phenyl,TRAIN_042,D-AZ,phenyl,Added phenyl at aromatic atom 6.,peripheral_aromatic,O=P1(Nc2ncc(-c3ccccc3)s2)Oc2ccccc2-c2ccccc21,C21H15N2O2PS,390.40400000000005,1,P-N-S,phenyl,none,Additive,B,True,0.5657894736842105,0.5657894736842105,TRAIN_042,D-AZ,1,0,0,27,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_313,D-AZ-biphenyl,TRAIN_042,D-AZ,biphenyl,Added biphenyl at aromatic atom 6.,peripheral_aromatic,O=P1(Nc2ncc(-c3ccc(-c4ccccc4)cc3)s2)Oc2ccccc2-c2ccccc21,C27H19N2O2PS,466.5020000000001,1,P-N-S,biphenyl,none,Additive,C,False,0.524390243902439,0.524390243902439,TRAIN_042,D-AZ,1,0,0,33,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_314,D-AZ-NH-methyl,TRAIN_042,D-AZ,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 1.",NH_site_1,CN(c1nccs1)P1(=O)Oc2ccccc2-c2ccccc21,C16H13N2O2PS,328.333,1,P-N-S,N-methyl,none,Additive,C,False,0.4358974358974359,0.4358974358974359,TRAIN_042,D-AZ,1,0,0,22,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_315,D-AZ-NH-hydroxyethyl,TRAIN_042,D-AZ,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.,NH_site_1,O=P1(N(CCO)c2nccs2)Oc2ccccc2-c2ccccc21,C17H15N2O3PS,358.3590000000001,1,P-N-S,N-hydroxyethyl,OH,Additive,C,False,0.40476190476190477,0.40476190476190477,TRAIN_042,D-AZ,1,0,0,24,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_316,D-AZ-NH-glycidyl,TRAIN_042,D-AZ,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 1.,NH_site_1,O=P1(N(CC2CO2)c2nccs2)Oc2ccccc2-c2ccccc21,C18H15N2O3PS,370.3700000000001,1,P-N-S,N-glycidyl,epoxy,Co-curing,C,False,0.3953488372093023,0.3953488372093023,TRAIN_042,D-AZ,1,0,0,25,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_317,BDO-amino,TRAIN_122,BDO,amino,Added amino at aromatic atom 35.,peripheral_aromatic,Nc1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1,C37H30N6O4P2S2,748.7670000000002,2,P-N-S,aryl-amino,NH2,Co-curing,B,True,0.8431372549019608,0.8431372549019608,TRAIN_122,BDO,1,0,0,51,none
CAND_R2_318,BDO-hydroxy,TRAIN_122,BDO,hydroxy,Added hydroxy at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(O)s2)Oc2ccccc2-c2ccccc21,C37H29N5O5P2S2,749.7510000000003,2,P-N-S,aryl-hydroxy,OH,Additive,B,True,0.8431372549019608,0.8431372549019608,TRAIN_122,BDO,1,0,0,51,none
CAND_R2_319,BDO-hydroxymethyl,TRAIN_122,BDO,hydroxymethyl,Added hydroxymethyl at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(CO)s2)Oc2ccccc2-c2ccccc21,C38H31N5O5P2S2,763.7780000000002,2,P-N-S,aryl-hydroxymethyl,CH2OH,Additive,B,True,0.8269230769230769,0.8269230769230769,TRAIN_122,BDO,1,0,0,52,none
CAND_R2_320,BDO-carboxamide,TRAIN_122,BDO,carboxamide,Added carboxamide at aromatic atom 35.,peripheral_aromatic,NC(=O)c1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1,C38H30N6O5P2S2,776.7770000000002,2,P-N-S,aryl-carboxamide,amide,Additive,B,True,0.8037383177570093,0.8037383177570093,TRAIN_122,BDO,1,0,0,53,none
CAND_R2_321,BDO-boronic-acid,TRAIN_122,BDO,boronic_acid,Added boronic_acid at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(B(O)O)s2)Oc2ccccc2-c2ccccc21,C37H30BN5O6P2S2,777.5700000000004,2,P-N-B-S,aryl-boronic-acid,B(OH)2,Additive,B,True,0.819047619047619,0.819047619047619,TRAIN_122,BDO,1,0,0,53,none
CAND_R2_322,BDO-pinacol-boronate,TRAIN_122,BDO,pinacol_boronate,Added pinacol_boronate at aromatic atom 35.,peripheral_aromatic,CC1(C)OB(c2ccc(C(CP3(=O)Oc4ccccc4-c4ccccc43)Nc3n[nH]c(NC(c4cccs4)P4(=O)Oc5ccccc5-c5ccccc54)n3)s2)OC1(C)C,C43H40BN5O6P2S2,859.7160000000001,2,P-N-B-S,aryl-pinacol-boronate,pinacol boronate,Additive,B,True,0.7543859649122807,0.7543859649122807,TRAIN_122,BDO,1,0,0,59,none
CAND_R2_323,BDO-trimethoxysilyl,TRAIN_122,BDO,trimethoxysilyl,Added trimethoxysilyl at aromatic atom 35.,peripheral_aromatic,CO[Si](OC)(OC)c1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1,C40H37N5O7P2S2Si,853.9320000000002,2,P-N-Si-S,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,True,0.7818181818181819,0.7818181818181819,TRAIN_122,BDO,1,0,0,57,none
CAND_R2_324,BDO-triethoxysilyl,TRAIN_122,BDO,triethoxysilyl,Added triethoxysilyl at aromatic atom 35.,peripheral_aromatic,CCO[Si](OCC)(OCC)c1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1,C43H43N5O7P2S2Si,896.013,2,P-N-Si-S,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,True,0.7610619469026548,0.7610619469026548,TRAIN_122,BDO,1,0,0,60,none
CAND_R2_325,BDO-disiloxane,TRAIN_122,BDO,disiloxane,Added disiloxane at aromatic atom 35.,peripheral_aromatic,C[Si](C)(C)O[Si](C)(C)c1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1,C42H43N5O5P2S2Si2,880.0900000000001,2,P-N-Si-S,short-disiloxane,none,Additive,B,True,0.7678571428571429,0.7678571428571429,TRAIN_122,BDO,1,0,0,58,none
CAND_R2_326,BDO-glycidyloxy,TRAIN_122,BDO,glycidyloxy,Added glycidyloxy at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(OCC3CO3)s2)Oc2ccccc2-c2ccccc21,C40H33N5O6P2S2,805.8150000000002,2,P-N-S,aryl-glycidyl-ether,epoxy,Co-curing,B,True,0.7350427350427351,0.7350427350427351,TRAIN_122,BDO,1,0,0,55,none
CAND_R2_327,BDO-diaminotriazine,TRAIN_122,BDO,diaminotriazine,Added diaminotriazine at aromatic atom 35.,peripheral_aromatic,Nc1nc(N)nc(-c2ccc(C(CP3(=O)Oc4ccccc4-c4ccccc43)Nc3n[nH]c(NC(c4cccs4)P4(=O)Oc5ccccc5-c5ccccc54)n3)s2)n1,C40H32N10O4P2S2,842.8439999999998,2,P-N-S,"diamino-1,3,5-triazine",NH2,Co-curing,B,True,0.7678571428571429,0.7678571428571429,TRAIN_122,BDO,1,0,0,58,none
CAND_R2_328,BDO-piperazine,TRAIN_122,BDO,piperazine,Added piperazine at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(N3CCNCC3)s2)Oc2ccccc2-c2ccccc21,C41H37N7O4P2S2,817.8739999999999,2,P-N-S,piperazine,NH,Co-curing,B,True,0.7413793103448276,0.7413793103448276,TRAIN_122,BDO,1,0,0,56,none
CAND_R2_329,BDO-benzamide-linker,TRAIN_122,BDO,benzamide_linker,Added benzamide_linker at aromatic atom 35.,peripheral_aromatic,O=C(Nc1ccc(C(CP2(=O)Oc3ccccc3-c3ccccc32)Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)s1)c1ccccc1,C44H34N6O5P2S2,852.8750000000002,2,P-N-S,benzamide,amide,Additive,B,True,0.7288135593220338,0.7288135593220338,TRAIN_122,BDO,1,0,0,59,none
CAND_R2_330,BDO-phenyl,TRAIN_122,BDO,phenyl,Added phenyl at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(-c3ccccc3)s2)Oc2ccccc2-c2ccccc21,C43H33N5O4P2S2,809.8500000000003,2,P-N-S,phenyl,none,Additive,B,True,0.7889908256880734,0.7889908256880734,TRAIN_122,BDO,1,0,0,56,none
CAND_R2_331,BDO-biphenyl,TRAIN_122,BDO,biphenyl,Added biphenyl at aromatic atom 35.,peripheral_aromatic,O=P1(CC(Nc2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccc(-c3ccc(-c4ccccc4)cc3)s2)Oc2ccccc2-c2ccccc21,C49H37N5O4P2S2,885.9480000000002,2,P-N-S,biphenyl,none,Additive,B,True,0.7543859649122807,0.7543859649122807,TRAIN_122,BDO,1,0,0,62,none
