task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
PHRR,AD_zone_temp,Caution,91,0.6293817959520838,213.61603156756598,172.46987835962196,136.5837261836757,,,0.7,0.6
PHRR,AD_zone_temp,Extrapolation,202,0.6113787474038735,230.99865660107395,161.58846652834873,127.53318180348668,,,0.7,0.6
PHRR,AD_zone_temp,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,,,0.7,0.6
PHRR,AD_zone_temp,Caution,337,0.6375893470472696,216.9666411752568,160.35650203715124,129.03245840752686,,,0.75,0.35
PHRR,AD_zone_temp,Extrapolation,15,0.37333465441582925,230.35907330118013,162.8240351413448,146.64644605882552,,,0.75,0.35
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.35
PHRR,AD_zone_temp,Caution,320,0.657432208725206,211.54858556808762,156.71743151225868,127.7338905878238,,,0.75,0.4
PHRR,AD_zone_temp,Extrapolation,32,0.31356122217641635,270.36992146964377,197.90386342866748,164.56502045602227,,,0.75,0.4
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.4
PHRR,AD_zone_temp,Caution,284,0.6626709474906437,214.09263156974083,159.0574947854395,129.16301346197716,,,0.75,0.45
PHRR,AD_zone_temp,Extrapolation,68,0.44580960499778977,231.45219079291243,166.3260763908136,129.01492181200507,,,0.75,0.45
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.45
PHRR,AD_zone_temp,Caution,260,0.6858588706989948,191.11094793054343,152.0262156082043,130.39675103705594,,,0.75,0.5
PHRR,AD_zone_temp,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,,,0.75,0.5
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.5
PHRR,AD_zone_temp,Caution,193,0.6798113506149566,198.45546343729657,159.64650673430603,132.5002745854681,,,0.75,0.55
PHRR,AD_zone_temp,Extrapolation,159,0.5817407363449031,238.6923459047049,161.45110637684957,117.58362954274037,,,0.75,0.55
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.55
PHRR,AD_zone_temp,Caution,150,0.646451208088527,198.01173855452072,158.94420983275796,130.93123338984554,,,0.75,0.6
PHRR,AD_zone_temp,Extrapolation,202,0.6113787474038735,230.99865660107395,161.58846652834873,127.53318180348668,,,0.75,0.6
PHRR,AD_zone_temp,In_domain,54,0.4464110670868604,233.07380687537085,168.63074268936774,99.67175486904796,,,0.75,0.6
PHRR,AD_zone_temp,Caution,363,0.6089447125124361,223.73305620117222,165.3248948349301,129.29356851642746,,,0.8,0.35
PHRR,AD_zone_temp,Extrapolation,15,0.37333465441582925,230.35907330118013,162.8240351413448,146.64644605882552,,,0.8,0.35
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.35
PHRR,AD_zone_temp,Caution,346,0.6263268005967451,219.21618988801336,162.20339226150992,128.85000456185006,,,0.8,0.4
PHRR,AD_zone_temp,Extrapolation,32,0.31356122217641635,270.36992146964377,197.90386342866748,164.56502045602227,,,0.8,0.4
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.4
PHRR,AD_zone_temp,Caution,310,0.6288658775651763,222.33158909612894,164.98427147620794,129.32788035532522,,,0.8,0.45
PHRR,AD_zone_temp,Extrapolation,68,0.44580960499778977,231.45219079291243,166.3260763908136,129.01492181200507,,,0.8,0.45
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.45
PHRR,AD_zone_temp,Caution,286,0.6413896921336892,203.14374124461912,159.08955138703763,131.73512820718207,,,0.8,0.5
PHRR,AD_zone_temp,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,,,0.8,0.5
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.5
PHRR,AD_zone_temp,Caution,219,0.6251449782985068,212.69750655444793,167.96607962685255,133.44854826378946,,,0.8,0.55
PHRR,AD_zone_temp,Extrapolation,159,0.5817407363449031,238.6923459047049,161.45110637684957,117.58362954274037,,,0.8,0.55
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.55
PHRR,AD_zone_temp,Caution,176,0.5791779503450875,215.6871328064224,169.4001540538258,132.97441142462878,,,0.8,0.6
PHRR,AD_zone_temp,Extrapolation,202,0.6113787474038735,230.99865660107395,161.58846652834873,127.53318180348668,,,0.8,0.6
PHRR,AD_zone_temp,In_domain,28,0.7558642947919745,149.65144643101334,111.90230238093615,96.25086257872806,,,0.8,0.6
