task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
PHRR,scaffold_status,New_scaffold,351,0.6046106015638412,221.33766208145946,162.65923200914906,126.94631913987064,147.78799052560888,178.7622463858417
PHRR,scaffold_status,Seen_scaffold,55,0.6684705644101667,208.8035570943636,154.45766152099418,96.7101550098082,119.260161934256,191.58999544208783
