task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high
PHRR,AD_zone,In_domain,113,0.5584995766364477,203.1230989814056,152.68081990631816,113.86680715276395,128.58218941255907,177.26676357390096
PHRR,AD_zone,Caution,201,0.6884065412448231,196.57869529084851,156.1191219599255,132.5002745854681,141.40321905784094,172.67242812237563
PHRR,AD_zone,Extrapolation,92,0.5282602661758395,279.05140890894,184.30093103811978,122.2649743413055,144.42889153653277,227.72141000995447
