task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high
LOI,scaffold_status,New_scaffold,452,0.7233100849278894,2.6729551630735386,2.040985776013201,1.5772729610808405,1.8827608411182641,2.199095709423212,,,,,,,,,
LOI,scaffold_status,Seen_scaffold,147,0.6959698730147752,2.4813136059274785,1.8366415379952248,1.3119769065882707,1.577193579726565,2.107433790984783,,,,,,,,,
PHRR,scaffold_status,New_scaffold,351,0.6046106015638412,221.33766208145946,162.65923200914906,126.94631913987064,147.78799052560888,178.7622463858417,,,,,,,,,
PHRR,scaffold_status,Seen_scaffold,55,0.6684705644101667,208.8035570943636,154.45766152099418,96.7101550098082,119.260161934256,191.58999544208783,,,,,,,,,
THR,scaffold_status,New_scaffold,329,0.5044098023781647,16.34689930871832,11.556914836319311,7.767189552406862,10.392345650476392,12.809316185030987,,,,,,,,,
THR,scaffold_status,Seen_scaffold,68,0.333392138818728,26.980264680755553,16.615836028399524,10.176279519445615,12.1463693671781,22.401469773424044,,,,,,,,,
UL94_V0,scaffold_status,New_scaffold,465,,,,,,,0.7913978494623656,0.7938375350140057,0.7908406716469819,0.856078431372549,0.765218048478505,0.15058928157028284,0.06109310308945169,0.7526881720430108,0.8279569892473119
UL94_V0,scaffold_status,Seen_scaffold,134,,,,,,,0.746268656716418,0.7687219466099693,0.7442173815405344,0.863690054334987,0.720290273897566,0.152527923574872,0.09543499755552858,0.6716417910447762,0.8208955223880597
