task,n,n_unique_main,n_unique_pairs,AD_similarity_mean,AD_similarity_median,In_domain_n,Caution_n,Extrapolation_n,Invalid_or_missing_n,new_scaffold_fraction,Spearman_similarity_vs_absolute_error,Spearman_similarity_vs_absolute_error_p,threshold_support,threshold_support_reason,In_domain_MAE,Caution_MAE,Extrapolation_MAE,prediction_source,Spearman_similarity_vs_correctness,Spearman_similarity_vs_correctness_p,In_domain_Accuracy,Caution_Accuracy,Extrapolation_Accuracy
LOI,599,138,143,0.5941205154404923,0.6020408163265306,143,320,136,0,0.7545909849749582,-0.09298515055204508,0.022849483381888126,Supported,MAE increases monotonically from in-domain to extrapolation,1.7216117765584253,2.0231829390826848,2.1978150903599336,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\LOI\molecule\formulation\without_BDE\LOI_outer_predictions.csv,,,,,
PHRR,406,124,127,0.5954560497908675,0.6,113,201,92,0,0.8645320197044335,0.0107164902831674,0.8295554761127537,Supported,MAE increases monotonically from in-domain to extrapolation,152.68081990631816,156.1191219599255,184.30093103811978,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_outer_predictions.csv,,,,,
THR,397,120,123,0.5854830924836105,0.5882352941176471,97,198,102,0,0.8287153652392947,0.023513425921171425,0.6404362007704463,Not_supported,Extrapolation MAE does not exceed in-domain MAE,12.907391830281538,12.594405229795356,11.631299882778743,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_outer_predictions.csv,,,,,
UL94_V0,599,138,143,0.5861352858349431,0.5882352941176471,149,303,147,0,0.7762938230383973,,,Supported,Accuracy decreases monotonically from in-domain to extrapolation,,,,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_predictions.csv,0.06875948349265602,0.09269932132459766,0.8053691275167785,0.7854785478547854,0.7482993197278912
