feature_group,mean_abs_shap_all_folds_sum,mean_abs_shap_all_folds_mean,max_top20_frequency,mean_selected_feature_frequency,n_features
ep_baseline,7.65530862277199,2.551769540923997,1.0,1.0,3
molecular_descriptor,6.597364446118974,0.5497803705099146,1.0,0.8333333333333334,12
formulation_loading,4.439162849700448,0.554895356212556,0.8,0.775,8
formulation_interaction,2.43863343568283,2.43863343568283,0.8,0.8,1
elemental_composition,2.1806179409477315,0.24229088232752571,0.8,0.911111111111111,9
other,0.9430686080706799,0.3143562026902266,0.6,0.6,3
