task,task_type,split_strategy,screening_mode,row_policy,feature_scope,use_BDE,descriptor_mode,use_V7_formula_features,configured_current_view,configured_current_k,outer_splits_requested,outer_splits_completed,inner_splits,selection_scope,selection_rule,formal_row_policy,n_valid_formal_rows,n_neat_rows,n_modified_rows,neat_fr_feature_masking,matching_baseline_leakage_guard,outer_R2_mean,outer_R2_std,outer_RMSE_mean,outer_RMSE_std,outer_MAE_mean,outer_MAE_std,outer_modified_R2_mean,outer_modified_R2_std,outer_modified_RMSE_mean,outer_modified_RMSE_std,outer_modified_MAE_mean,outer_modified_MAE_std,outer_PICP_mean,outer_PICP_std,outer_MPIW_mean,outer_MPIW_std,outer_modified_PICP_mean,outer_modified_PICP_std,outer_modified_MPIW_mean,outer_modified_MPIW_std,selected_view_frequency,selected_model_frequency,selected_k_frequency,outer_Accuracy_mean,outer_Accuracy_std,outer_Balanced_Accuracy_mean,outer_Balanced_Accuracy_std,outer_Macro_F1_mean,outer_Macro_F1_std,outer_Weighted_F1_mean,outer_Weighted_F1_std,outer_Brier_mean,outer_Brier_std,outer_ECE_mean,outer_ECE_std,outer_TN_mean,outer_TN_std,outer_FP_mean,outer_FP_std,outer_FN_mean,outer_FN_std,outer_TP_mean,outer_TP_std,outer_ROC_AUC_mean,outer_ROC_AUC_std,outer_PR_AUC_mean,outer_PR_AUC_std,outer_modified_Accuracy_mean,outer_modified_Accuracy_std,outer_modified_Balanced_Accuracy_mean,outer_modified_Balanced_Accuracy_std,outer_modified_Macro_F1_mean,outer_modified_Macro_F1_std,outer_modified_Weighted_F1_mean,outer_modified_Weighted_F1_std,outer_modified_Brier_mean,outer_modified_Brier_std,outer_modified_ECE_mean,outer_modified_ECE_std,outer_modified_TN_mean,outer_modified_TN_std,outer_modified_FP_mean,outer_modified_FP_std,outer_modified_FN_mean,outer_modified_FN_std,outer_modified_TP_mean,outer_modified_TP_std,outer_modified_ROC_AUC_mean,outer_modified_ROC_AUC_std,outer_modified_PR_AUC_mean,outer_modified_PR_AUC_std
LOI,regression,molecule,formulation,baseline_inclusive,all,0,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.7164949069317215,0.03581258381880138,2.5954506613795365,0.4646136617911402,1.9918801985721957,0.4068147603830761,0.4458479636836226,0.06553957237135576,2.739017571023658,0.5518541899736377,2.114407532312061,0.5019712818832952,0.9682773109243697,0.012370404077204715,12.968226939334935,2.484620639221263,0.961539541611631,0.01632062236530634,12.968226939334937,2.484620639221263,"[[""compact"", 5]]","[[""GBDT"", 3], [""ExtraTrees"", 1], [""SoftVote"", 1]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHRR,regression,molecule,formulation,baseline_inclusive,all,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.6035813055527178,0.04164766847422326,216.78322111736597,40.06409578204795,161.56856691699141,23.951500044359353,0.623116005603471,0.08679339004755182,186.25054859857477,44.39722633860735,142.47072680002367,29.399204439567722,0.945679012345679,0.07438207571057813,1085.688280474107,398.3727339824984,0.9512340172465061,0.08183518782882346,1085.6882804741072,398.3727339824985,"[[""compact"", 5]]","[[""GBDT"", 3], [""SoftVote"", 1], [""LGBM"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THR,regression,molecule,formulation,baseline_inclusive,all,0,advanced,1,descriptors,30.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,397,111,286,True,True,0.4832714736882237,0.13285228024858872,18.165469441482163,4.568737300890846,12.431027907598175,2.4981657453714705,0.6025298601188822,0.19355568514889823,12.648550394966673,3.976659304936233,8.969651557267488,2.136112398743097,0.9595886075949366,0.03943201786629149,95.63452498505578,35.87187583308479,0.9753069113461621,0.02988193223944914,95.63452498505578,35.8718758330848,"[[""descriptors"", 5]]","[[""GBDT"", 3], [""ExtraTrees"", 1], [""LGBM"", 1]]","[[""30"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL94_V0,classification,molecule,formulation,baseline_inclusive,all,0,advanced,1,morgan_r3,,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,False,,,,,,,,,,,,,,,,,,,,,"[[""morgan_r3"", 5]]","[[""ExtraTrees"", 4], [""GBDT"", 1]]","[[""None"", 5]]",0.7805998501557323,0.028519721934905356,0.787741605611371,0.039033214361432284,0.7785819251223598,0.03136052058537303,0.7808789158430482,0.02906813902465218,0.15136066113931687,0.01965403081043819,0.11267307382601108,0.028574901248335276,50.4,3.1304951684997055,17.2,5.495452665613635,9.0,5.787918451395113,43.2,7.758865896508328,0.8688814829474463,0.03690039389321396,0.7946961759508457,0.08232782763039137,0.7188643774076404,0.03956692762372494,0.7087317938406589,0.03421800196530458,0.7063009938215812,0.035307488302503125,0.7131331783798874,0.03636886012743453,0.19395937112497016,0.027791220357547972,0.14278211833422033,0.035399118573454125,24.2,1.0954451150103324,17.2,5.495452665613635,9.0,5.787918451395113,43.2,7.758865896508328,0.7841538522350205,0.06591008262588949,0.7946961759508457,0.08232782763039131
