feature_group,mean_abs_shap_all_folds_sum,mean_abs_shap_all_folds_mean,max_top20_frequency,mean_selected_feature_frequency,n_features
molecular_descriptor,139.84103147988444,3.779487337294174,1.0,0.9945945945945945,37
ep_baseline,98.19181939885974,32.73060646628658,1.0,1.0,3
molecular_fingerprint,84.6662195369702,0.5962409826547197,1.0,0.9507042253521126,142
formulation_loading,50.939809366057936,10.187961873211588,1.0,1.0,5
test_condition,24.592219793409093,8.197406597803031,1.0,1.0,3
other,15.50387988618741,0.6459949952578087,0.8,0.9333333333333332,24
curing_and_preparation,12.783612943371493,3.195903235842873,0.6,1.0,4
formulation_interaction,12.502165242272943,4.167388414090981,0.8,1.0,3
elemental_composition,11.977763398835389,0.36296252723743605,0.4,1.0,33
