Formulation_ID,Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,synthesis_feasible,candidate_feasible,smiles_valid,contains_DOPO,is_unique,candidate_status,Record_ID,FR_main,FR_co,Curing_Agent,Preparation_Method,Preparation_Method_num,Synergy_flag(single=0&synergy=1),Synergy_type,Main_FR_fraction,Co_FR_fraction,SMILES_main,SMILES_co,SMILES_Curing_Agent,Loading_total_FR wt%,P_content wt%,N_content wt%,S_content wt%,B_content wt%,Si_content wt%,N/P ratio,S/P ratio,B/P ratio,Si/P ratio,Has_P,Has_N,Has_S,Has_B,Has_Si,CuringAgent_Has_N,CuringAgent_Has_S,CuringAgent_Has_P,CuringAgent_Has_B,CuringAgent_Has_F,CuringAgent_Has_Cl,Cure_Temp_Max,LOI_Thickness_mm,LOI,EP_matrix_LOI,Delta_LOI,UL94_Thickness_mm,UL94,UL94_num,Cone_Thickness_mm,Cone_flux_kW_m2,PHRR_kw_㎡,EP_matrix_PHRR,Delta_PHRR,THR_MJ_㎡,EP_matrix_THR,Delta_THR,Tg_℃,EP_matrix_Tg,Delta_Tg,Char_yield_％_700C,EP_matrix_CY,Delta_CY,TS_MPa,EP_matrix_TS,Delta_TS,FS_MPa,EP_matrix_FS,Delta_FS,FR_main_BDE_Kcal/mol,FR_main_BDE_KJ/mol,BDE_Type,Reference,pred_Canonical_SMILES,pred_Bond_Type,pred_selected_model_task,pred_selected_model_name,pred_selected_target_mode,pred_selected_k_best,pred_BDE_pred_kJ_mol,pred_BDE_pred_std_kJ_mol,pred_confidence_note,pred_prediction_agreement_note,pred_pcpn_alltypes_abs_diff_kJ_mol,pred_BDE_pred_pc_pn_kJ_mol,pred_BDE_pred_pc_pn_std_kJ_mol,pred_BDE_model_pc_pn,pred_BDE_target_mode_pc_pn,pred_BDE_k_best_pc_pn,FR_main_BDE_pred_kJ_mol,FR_main_BDE_pred_std_kJ_mol,FR_main_BDE_model_task,FR_main_BDE_model_name,FR_main_BDE_target_mode,FR_main_BDE_k_best,FR_main_BDE_confidence_note,FR_main_BDE_prediction_agreement_note,FR_main_BDE_pcpn_alltypes_diff_kJ_mol,FR_main_BDE_pc_pn_pred_kJ_mol,FR_main_BDE_pc_pn_pred_std_kJ_mol,FR_main_BDE_final_kJ_mol,FR_main_BDE_available,FR_main_BDE_source,FR_main_BDE_low_confidence
FORM_000160,CAND_R2_052,PBD-disiloxane,designed,P-N-Si,B,True,True,True,True,True,Candidate,,PBD-disiloxane,,DDM,DOPO-based (additive),0,1,P-N-Si,100.00%,0.00%,C[Si](C)(C)O[Si](C)(C)c1cc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,3.42,0.1846637717186473,0.2505248386191411,0.0,0.0,0.1674458156030842,1.3566539678439977,0.0,0.0,0.9067605088138441,1,1,0,0,1,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000161,CAND_R2_052,PBD-disiloxane,designed,P-N-Si,B,True,True,True,True,True,Candidate,,PBD-disiloxane,,DDM,DOPO-based (additive),0,1,P-N-Si,100.00%,0.00%,C[Si](C)(C)O[Si](C)(C)c1cc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,7.0,0.37796678421945357,0.5127701375245579,0.0,0.0,0.3427253535735641,1.3566539678439982,0.0,0.0,0.906760508813844,1,1,0,0,1,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000162,CAND_R2_052,PBD-disiloxane,designed,P-N-Si,B,True,True,True,True,True,Candidate,,PBD-disiloxane,,DDM,DOPO-based (additive),0,1,P-N-Si,100.00%,0.00%,C[Si](C)(C)O[Si](C)(C)c1cc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc(C#N)c1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.0,0.5399525488849336,0.7325287678922255,0.0,0.0,0.48960764796223444,1.3566539678439982,0.0,0.0,0.9067605088138442,1,1,0,0,1,1,0,0,0,0,0,160.0,3.2,,24.8,,3.2,,,3.0,35.0,,1184.0,,,87.2,,,159.0,,,17.0,,,62.6,,,97.55,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000163,CAND_R2_053,PBD-glycidyloxy,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-glycidyloxy,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(OCC6CO6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,4.0,0.23093146295797518,0.31329408552195637,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000164,CAND_R2_053,PBD-glycidyloxy,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-glycidyloxy,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(OCC6CO6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,6.78,0.3914288297137679,0.5310334749597161,0.0,0.0,0.0,1.3566539678439986,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000165,CAND_R2_053,PBD-glycidyloxy,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-glycidyloxy,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(OCC6CO6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.19,0.5882979018854417,0.7981166828671837,0.0,0.0,0.0,1.3566539678439984,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000166,CAND_R2_054,PBD-diaminotriazine,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-diaminotriazine,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(-c6nc(N)nc(N)n6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,4.0,0.22322799178407984,0.5552124247774854,0.0,0.0,0.0,2.48719894104733,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000167,CAND_R2_054,PBD-diaminotriazine,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-diaminotriazine,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(-c6nc(N)nc(N)n6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,6.78,0.37837144607401535,0.9410850599978379,0.0,0.0,0.0,2.48719894104733,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000168,CAND_R2_054,PBD-diaminotriazine,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-diaminotriazine,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(-c6nc(N)nc(N)n6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,10.19,0.5686733090699433,1.4144036521206442,0.0,0.0,0.0,2.4871989410473305,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_000169,CAND_R2_055,PBD-piperazine,designed,P-N,B,True,True,True,True,True,Candidate,,PBD-piperazine,,DDM,DOPO-based (Co-curing),2,1,P-N,100.00%,0.00%,N#Cc1ccc(Oc2cccc(NC(c3ccc(C(Nc4cccc(Oc5cc(C#N)c(C#N)c(N6CCNCC6)c5)c4)P4(=O)Oc5ccccc5-c5ccccc54)cc3)P3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,4.0,0.22836499027712492,0.41308302690149007,0.0,0.0,0.0,1.8088719571253307,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,170.0,3.0,,24.0,,3.0,,,3.0,35.0,,1208.0,,,88.0,,,164.3,,,16.5,,,58.7,,,101.3,,,,,Virtual screening scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
